open,high,low,close,volume,datetime
380.93,383.015,378.47,378.55,7607,20220518
378.5469,379.0,376.434,376.434,725,20220518
376.24,378.0,376.05,378.0,5100,20220518
377.4651,378.72,376.345,377.08,4846,20220518
377.17,377.7,373.91,376.41,6621,20220518
376.3999,377.32,376.1,376.7,2220,20220518
376.97,376.99,374.25,374.73,11701,20220518
375.77,375.905,374.28,374.28,1600,20220518
375.3099,375.31,373.89,374.03,4143,20220518
373.88,375.05,372.39,373.59,4160,20220518
372.27,372.62,371.6,371.75,4358,20220518
372.07,374.1,372.07,373.0,2245,20220518
372.98,373.5,371.06,371.5,8462,20220518
371.58,371.75,369.69,370.31,8579,20220518
370.26,370.29,368.51,369.675,10328,20220518
369.675,370.54,369.18,369.18,3598,20220518
369.55,369.8599,368.54,368.74,5542,20220518
368.531,369.39,367.97,369.36,3900,20220518
369.925,369.925,368.405,368.405,1220,20220518
368.41,368.57,367.45,368.57,14069,20220518
369.17,369.17,367.16,367.565,3820,20220518
367.505,368.24,367.22,367.565,2771,20220518
367.22,368.02,366.77,367.89,7428,20220518
367.705,369.31,367.705,368.9,9380,20220518
369.31,369.895,368.76,369.58,2300,20220518
368.77,369.2604,368.21,368.305,2450,20220518
367.5,367.51,366.5,366.78,1700,20220518
366.57,367.035,366.28,366.92,900,20220518
366.56,366.93,366.24,366.83,1851,20220518
366.775,366.775,366.01,366.335,10327,20220518
366.335,366.98,366.05,366.55,12311,20220518
366.755,367.02,366.3,366.425,3216,20220518
366.59,366.59,364.61,364.69,8498,20220518
364.03,364.94,363.72,364.11,4940,20220518
364.47,365.98,364.47,365.37,1366,20220518
365.6,366.39,365.2,366.33,10538,20220518
366.1,367.15,365.84,367.15,4300,20220518
367.01,367.15,366.515,366.77,2430,20220518
366.46,367.8,366.035,367.555,6863,20220518
367.51,368.0,367.025,367.6,2238,20220518
367.46,368.04,367.215,367.58,1200,20220518
367.64,367.64,366.51,366.63,1672,20220518
366.74,367.0,365.0,365.06,2953,20220518
365.42,366.07,365.42,365.88,2900,20220518
365.43,366.64,365.43,366.64,3800,20220518
366.35,366.66,366.06,366.66,1400,20220518
366.62,368.41,366.62,368.33,4400,20220518
368.08,368.42,367.66,367.66,2100,20220518
367.35,367.65,366.9417,367.27,1800,20220518
367.05,368.0,366.81,367.91,2800,20220518
367.93,368.66,367.685,368.1,15140,20220518
368.09,368.09,367.21,367.74,1500,20220518
367.79,368.555,367.79,367.9,892,20220518
367.61,367.73,367.18,367.21,1193,20220518
366.67,366.87,366.67,366.82,700,20220518
366.915,367.22,366.775,367.05,2578,20220518
366.9433,367.24,366.74,367.04,6800,20220518
367.14,367.14,366.75,366.87,992,20220518
366.93,367.33,366.81,366.86,4255,20220518
366.6,366.81,365.835,366.05,3488,20220518
365.29,365.93,365.29,365.4566,2579,20220518
365.69,365.83,364.5612,364.705,3984,20220518
364.855,365.01,364.74,364.74,617,20220518
364.62,364.9,364.2,364.3,3737,20220518
364.0,364.28,363.84,364.28,831,20220518
363.95,363.96,363.27,363.27,1995,20220518
363.385,363.55,362.73,363.12,5262,20220518
363.305,363.325,362.35,362.525,2300,20220518
362.22,362.93,361.895,362.615,4400,20220518
362.69,363.28,362.18,363.28,4800,20220518
363.42,363.43,362.675,362.6928,3790,20220518
363.18,363.64,362.78,363.64,2300,20220518
363.82,364.1464,363.06,363.3,4227,20220518
363.05,363.425,362.69,362.71,1700,20220518
362.55,362.55,362.08,362.29,850,20220518
362.275,362.41,361.77,362.12,2986,20220518
362.34,363.71,362.31,363.71,2850,20220518
363.145,363.145,362.69,362.7,1414,20220518
362.71,363.565,362.69,363.155,3458,20220518
362.91,363.16,362.76,363.16,1495,20220518
363.28,363.71,363.15,363.71,1160,20220518
363.435,363.51,363.05,363.495,3000,20220518
363.71,363.84,363.31,363.6,4699,20220518
363.26,363.4,363.17,363.29,3000,20220518
363.04,363.215,362.64,362.84,1066,20220518
363.14,363.16,362.8674,363.15,700,20220518
362.89,362.93,362.88,362.93,800,20220518
363.035,363.435,362.79,363.03,1425,20220518
363.35,363.575,363.09,363.09,2397,20220518
363.0,363.67,362.97,363.59,2260,20220518
363.62,363.62,363.38,363.43,375,20220518
363.35,363.45,363.0,363.03,1695,20220518
363.0,363.085,362.56,362.56,3744,20220518
362.695,362.8,362.0,362.0,1938,20220518
361.56,361.96,361.34,361.34,1900,20220518
361.3696,361.3696,360.851,361.26,1450,20220518
361.28,361.3,360.18,360.64,1124,20220518
360.64,360.64,360.32,360.61,300,20220518
360.46,360.46,360.22,360.22,1207,20220518
360.21,360.365,360.21,360.365,394,20220518
360.17,360.36,359.266,359.266,2061,20220518
359.5499,359.55,359.5,359.55,300,20220518
359.55,359.55,359.55,359.55,200,20220518
359.2,359.55,359.14,359.55,500,20220518
359.4,359.9,359.14,359.7,5416,20220518
359.14,359.41,359.14,359.41,389,20220518
359.14,359.32,357.8,358.03,4317,20220518
357.95,358.12,357.8,357.8,1488,20220518
357.79,357.79,357.79,357.79,400,20220518
357.47,357.9,357.33,357.45,2043,20220518
357.33,357.58,356.57,356.57,2700,20220518
356.5,356.99,356.0,356.905,3600,20220518
356.905,357.36,356.355,357.36,3452,20220518
357.125,357.18,356.49,356.91,5993,20220518
356.98,357.04,356.47,356.47,1339,20220518
356.51,356.62,356.5,356.62,500,20220518
356.15,356.37,356.15,356.37,1061,20220518
356.39,356.57,356.3,356.34,1721,20220518
356.3,356.41,356.03,356.145,2187,20220518
356.15,356.52,356.15,356.295,1961,20220518
356.155,356.16,356.15,356.15,500,20220518
356.105,356.105,356.105,356.105,651,20220518
356.1,356.1,355.8,355.8,600,20220518
356.33,356.37,355.7,355.7,5167,20220518
355.785,355.785,355.785,355.785,100,20220518
355.9725,356.71,355.58,356.34,4135,20220518
356.365,356.71,356.365,356.44,15259,20220518
356.55,356.55,355.83,355.83,800,20220518
355.48,355.81,355.298,355.298,1188,20220518
355.25,355.43,354.81,354.82,6141,20220518
354.93,355.25,354.63,354.78,5386,20220518
355.25,355.26,354.81,354.81,370,20220518
354.81,354.91,354.805,354.82,900,20220518
354.64,354.79,353.7801,353.86,5894,20220518
353.465,353.515,353.0001,353.515,1800,20220518
353.4,353.4,353.4,353.4,100,20220518
353.49,354.01,353.49,353.59,1400,20220518
353.73,354.01,353.66,354.01,400,20220518
353.86,353.9,353.52,353.52,2144,20220518
353.22,353.285,352.78,353.1153,1500,20220518
352.9,352.96,352.9,352.96,300,20220518
353.0,353.0,352.52,352.52,800,20220518
352.51,352.51,351.43,351.64,2200,20220518
351.64,352.04,351.5,352.04,1952,20220518
352.04,352.69,352.04,352.69,1700,20220518
352.5947,352.92,352.5947,352.92,300,20220518
352.86,353.05,352.54,352.54,600,20220518
352.51,352.6759,352.25,352.37,1200,20220518
352.2,352.24,352.2,352.24,200,20220518
351.67,351.67,351.36,351.51,400,20220518
351.5,351.75,351.5,351.5,2600,20220518
351.625,352.04,351.5,352.04,1705,20220518
352.31,353.4,352.31,353.39,2200,20220518
353.2072,353.2072,353.05,353.05,450,20220518
353.06,353.21,352.905,353.08,1100,20220518
353.22,353.69,353.19,353.19,1100,20220518
353.16,353.18,352.51,352.51,1300,20220518
351.9505,352.73,351.9505,352.3,927,20220518
352.66,352.75,352.66,352.75,498,20220518
352.63,352.91,352.45,352.9,1387,20220518
352.64,352.86,352.51,352.86,1600,20220518
352.92,353.65,352.92,353.265,1470,20220518
353.1242,353.32,353.1242,353.32,675,20220518
353.06,353.1,352.23,352.23,1047,20220518
352.26,352.905,352.26,352.905,1300,20220518
352.75,353.1,352.75,353.1,600,20220518
352.9,352.9,352.61,352.64,500,20220518
352.41,352.41,351.87,352.07,650,20220518
352.2,352.3,352.2,352.3,2206,20220518
351.83,351.83,351.83,351.83,153,20220518
351.68,351.89,351.22,351.22,1800,20220518
351.4509,351.51,351.06,351.06,1161,20220518
351.105,351.9,351.105,351.895,2559,20220518
351.9,352.13,351.75,351.76,1800,20220518
351.64,351.76,351.33,351.76,692,20220518
351.87,353.39,351.87,352.93,5561,20220518
352.78,354.43,352.76,354.43,7806,20220518
354.88,354.92,353.83,354.22,5402,20220518
354.48,354.645,353.71,353.8,1810,20220518
353.65,354.4,353.65,354.26,2120,20220518
353.91,353.93,353.77,353.77,929,20220518
353.62,354.84,353.31,354.26,2600,20220518
353.825,354.26,353.825,354.26,300,20220518
354.045,354.25,353.84,354.05,1178,20220518
354.31,354.31,354.31,354.31,100,20220518
354.12,354.12,353.97,353.97,200,20220518
353.63,354.0323,353.63,353.64,796,20220518
353.57,353.57,352.935,353.36,1700,20220518
353.14,353.14,352.76,352.76,590,20220518
352.77,353.01,352.77,353.01,1300,20220518
353.14,353.62,353.14,353.33,400,20220518
353.29,353.29,353.18,353.18,300,20220518
353.12,353.12,352.76,352.9193,500,20220518
353.05,353.52,353.05,353.52,600,20220518
353.44,354.08,353.44,354.08,700,20220518
353.9,353.9,353.64,353.64,400,20220518
353.9,353.9,353.84,353.84,200,20220518
353.84,353.84,353.84,353.84,100,20220518
353.89,353.89,353.89,353.89,100,20220518
354.2,354.23,353.88,353.95,1499,20220518
354.01,354.01,353.73,353.8425,800,20220518
353.84,354.38,353.75,354.38,1500,20220518
354.45,354.575,354.255,354.255,700,20220518
354.085,354.12,353.71,353.91,600,20220518
353.7401,353.96,353.7401,353.925,900,20220518
353.925,354.1,353.83,354.06,5452,20220518
354.135,354.42,354.135,354.295,1000,20220518
354.34,354.34,354.13,354.29,700,20220518
353.885,354.09,353.84,354.015,1014,20220518
354.3,354.3585,354.11,354.3585,1362,20220518
354.205,354.42,354.01,354.01,4311,20220518
353.655,353.655,352.65,352.79,4100,20220518
352.9678,353.01,352.3101,352.42,1711,20220518
352.41,352.97,352.39,352.39,2550,20220518
352.32,352.32,351.715,351.74,1150,20220518
351.42,351.42,351.0301,351.315,700,20220518
351.1051,351.15,350.83,350.88,1513,20220518
350.86,350.86,350.47,350.57,728,20220518
350.79,350.79,350.34,350.535,1650,20220518
350.55,351.0371,350.53,350.905,1617,20220518
350.815,350.815,350.815,350.815,300,20220518
350.7,350.7,350.459,350.57,1250,20220518
350.565,350.565,350.0101,350.27,1350,20220518
350.02,350.185,350.02,350.185,350,20220518
350.13,350.77,350.1,350.4497,2257,20220518
350.45,350.485,350.0101,350.0792,1050,20220518
350.33,350.34,350.0,350.0,1843,20220518
349.71,350.13,349.67,350.0,3500,20220518
349.895,350.43,349.895,350.405,2300,20220518
350.4,350.4,349.68,349.88,2637,20220518
349.87,349.87,349.4701,349.4701,460,20220518
349.23,349.26,348.46,348.725,1344,20220518
348.51,349.2,348.51,349.2,1950,20220518
349.11,349.11,348.88,348.91,835,20220518
349.0,349.57,349.0,349.445,1300,20220518
349.445,349.595,349.31,349.47,800,20220518
349.44,349.5,348.81,348.81,900,20220518
349.09,349.23,348.85,348.85,1000,20220518
349.27,349.42,349.27,349.28,2879,20220518
349.27,349.38,349.05,349.28,635,20220518
349.01,349.15,348.88,348.88,3537,20220518
348.99,349.485,348.99,349.45,1100,20220518
349.23,349.23,348.0303,348.1,3186,20220518
348.13,348.165,348.0003,348.15,700,20220518
348.07,348.2,348.06,348.2,800,20220518
348.29,348.5233,348.06,348.11,837,20220518
348.11,348.25,348.01,348.235,1200,20220518
348.07,348.07,347.39,347.39,1425,20220518
347.5621,347.5621,347.38,347.385,606,20220518
347.14,347.16,347.02,347.16,500,20220518
347.0,347.0,346.77,346.77,200,20220518
346.9,346.905,346.265,346.265,1900,20220518
346.41,346.52,346.0,346.0,2734,20220518
346.08,346.14,346.0,346.05,5638,20220518
346.03,346.36,346.0,346.36,2100,20220518
346.2,346.23,345.8616,345.8616,1242,20220518
345.86,345.87,345.2003,345.26,3994,20220518
345.285,345.355,345.01,345.01,1390,20220518
345.25,345.25,344.6403,344.6403,2700,20220518
344.805,344.805,344.195,344.31,2280,20220518
344.07,344.89,344.07,344.63,6723,20220518
344.36,344.36,344.0,344.0,2200,20220518
344.1,344.58,344.1,344.49,4418,20220518
344.46,344.46,344.0001,344.18,1847,20220518
344.27,344.65,344.27,344.63,2000,20220518
344.625,344.7,344.5763,344.7,500,20220518
344.87,345.22,344.67,345.17,3497,20220518
345.6234,345.818,344.825,344.825,4469,20220518
345.0,345.515,344.61,344.68,15238,20220518
344.715,344.865,344.27,344.28,1048,20220518
344.21,344.375,344.21,344.37,300,20220518
344.205,345.62,344.205,345.36,3202,20220518
345.3,345.3,345.01,345.01,300,20220518
344.93,344.93,344.93,344.93,187,20220518
345.02,346.085,344.53,346.085,3428,20220518
346.42,346.42,345.955,345.955,600,20220518
346.36,346.76,346.28,346.3,800,20220518
346.3,347.47,346.3,346.95,4200,20220518
346.67,347.14,346.53,347.03,2209,20220518
347.26,347.26,346.32,346.32,1687,20220518
346.1,346.1,345.87,345.91,2700,20220518
345.98,346.25,345.91,346.05,6410,20220518
346.1299,347.35,346.0241,347.35,1623,20220518
347.31,347.31,346.98,347.01,1160,20220518
347.13,347.33,347.13,347.33,848,20220518
347.057,347.91,347.057,347.41,2100,20220518
347.38,347.47,346.89,346.89,913,20220518
346.58,346.67,346.29,346.67,886,20220518
347.18,347.18,346.62,346.62,600,20220518
346.81,347.0541,346.8,347.0541,1375,20220518
346.74,346.74,346.74,346.74,100,20220518
346.6,347.01,346.495,346.85,1765,20220518
346.92,347.06,346.915,347.06,800,20220518
347.135,347.63,347.135,347.63,1217,20220518
347.44,347.51,347.33,347.33,720,20220518
347.145,347.51,346.95,347.51,1397,20220518
347.535,347.615,347.08,347.08,1490,20220518
347.0,347.0,346.21,346.21,1545,20220518
346.75,346.82,346.75,346.82,323,20220518
346.635,346.745,346.55,346.55,400,20220518
346.35,346.35,346.15,346.24,611,20220518
346.29,346.37,346.29,346.37,317,20220518
346.0,346.11,345.93,345.99,1500,20220518
345.83,346.26,345.83,346.26,1200,20220518
346.215,346.28,346.215,346.28,900,20220518
346.13,346.47,346.13,346.145,2104,20220518
346.26,346.462,346.04,346.3734,8430,20220518
346.5,346.51,345.75,345.76,17300,20220518
345.58,345.785,345.285,345.5,1519,20220518
345.39,345.61,345.255,345.255,811,20220518
345.14,345.14,344.86,344.995,600,20220518
345.13,345.28,345.02,345.06,2200,20220518
344.925,344.925,344.71,344.89,2520,20220518
344.94,345.01,344.42,344.42,1800,20220518
344.355,344.705,344.21,344.705,2910,20220518
344.83,345.03,344.28,344.33,1200,20220518
344.41,345.35,344.41,345.35,934,20220518
345.25,345.25,344.91,344.92,1446,20220518
344.49,344.49,344.465,344.465,200,20220518
344.28,344.49,344.28,344.49,900,20220518
344.485,344.485,344.175,344.32,600,20220518
344.32,344.67,344.32,344.645,2500,20220518
344.5621,344.62,344.5621,344.58,726,20220518
344.58,344.74,344.455,344.51,1400,20220518
344.605,344.6155,344.24,344.24,1515,20220518
344.24,344.535,344.07,344.535,2000,20220518
344.23,345.02,344.19,345.02,1100,20220519
345.285,345.285,344.74,344.93,1709,20220519
344.885,345.1,344.885,345.09,1000,20220519
344.99,345.03,344.82,344.83,1900,20220519
344.62,344.62,344.32,344.54,900,20220519
344.845,344.89,344.71,344.88,500,20220519
345.055,345.215,345.035,345.215,1100,20220519
345.22,345.78,345.09,345.78,1180,20220519
345.6949,346.14,345.43,346.135,4072,20220519
345.99,346.06,345.91,346.03,4039,20220519
346.03,346.03,345.7701,345.87,4169,20220519
345.96,346.15,345.81,346.15,2618,20220519
346.18,346.28,346.02,346.28,900,20220519
346.28,346.28,346.0,346.01,1706,20220519
346.01,346.15,346.0,346.15,1000,20220519
346.21,346.49,346.21,346.465,826,20220519
346.64,347.0499,346.64,347.0018,3500,20220519
347.05,347.38,347.04,347.38,1879,20220519
347.15,347.15,346.18,346.45,3657,20220519
346.3893,346.72,346.3893,346.72,1641,20220519
346.82,347.25,346.81,347.25,1471,20220519
347.45,347.45,347.03,347.03,1068,20220519
346.61,346.61,346.03,346.11,800,20220519
346.24,346.32,346.24,346.32,800,20220519
346.23,346.6105,346.23,346.6105,600,20220519
346.65,346.745,346.47,346.48,2126,20220519
346.54,346.54,346.2,346.25,900,20220519
346.24,346.44,346.24,346.44,715,20220519
346.5,346.84,346.5,346.84,800,20220519
347.24,347.27,347.04,347.165,2100,20220519
347.25,347.53,347.25,347.4,1641,20220519
347.32,347.43,347.22,347.22,1600,20220519
347.17,347.2,346.89,346.89,2730,20220519
346.81,346.94,346.64,346.65,2612,20220519
346.81,346.81,346.0,346.64,7606,20220519
346.605,346.735,346.54,346.71,900,20220519
346.81,347.64,346.81,347.61,2195,20220519
347.83,348.365,347.83,348.35,1200,20220519
348.44,348.79,348.4,348.6,2232,20220519
348.8945,349.26,348.85,349.26,1600,20220519
349.35,349.7,349.35,349.49,1700,20220519
349.4976,349.72,349.24,349.66,3415,20220519
349.61,349.62,349.155,349.155,2300,20220519
349.06,349.06,348.765,348.91,3200,20220519
348.8,349.26,348.8,349.08,3450,20220519
349.1131,349.1131,348.62,348.62,2950,20220519
348.36,348.55,348.22,348.535,1800,20220519
348.525,348.81,348.485,348.75,2738,20220519
348.6,348.62,348.12,348.185,2143,20220519
348.27,348.27,347.68,348.05,3600,20220519
348.21,349.26,347.92,348.925,3901,20220519
348.8201,348.8201,348.24,348.37,3900,20220519
348.395,349.07,348.395,348.9,5500,20220519
349.0166,349.04,348.61,348.91,2900,20220519
348.92,349.03,348.81,349.0,5874,20220519
349.0,349.53,348.275,349.51,8664,20220519
349.54,349.7,349.525,349.69,11642,20220519
349.7,350.08,349.68,349.95,9356,20220519
349.95,350.12,349.81,350.12,5893,20220519
350.01,350.67,349.79,350.33,12180,20220519
348.92,349.18,345.22,346.19,11226,20220519
347.5,347.705,346.7401,347.705,602,20220519
349.6,353.77,349.6,352.61,10563,20220519
353.1,354.05,352.36,353.19,2828,20220519
353.57,353.92,352.26,352.32,4025,20220519
351.8,353.3,351.61,352.79,1700,20220519
352.5,353.07,351.4001,351.4001,1700,20220519
351.52,352.68,351.52,352.68,2700,20220519
352.26,352.955,352.2,352.235,2526,20220519
352.23,352.705,352.21,352.3075,2318,20220519
352.21,352.6,351.4,352.14,2538,20220519
352.0,352.01,351.74,351.74,400,20220519
351.67,351.8475,351.37,351.37,400,20220519
350.945,350.945,350.43,350.43,300,20220519
350.1011,350.39,350.0,350.39,904,20220519
350.59,350.87,350.56,350.79,2300,20220519
350.98,352.73,350.97,352.615,65293,20220519
352.37,352.595,350.89,351.15,4400,20220519
351.15,351.28,350.91,351.28,3300,20220519
351.035,351.035,349.2949,349.835,8297,20220519
349.825,349.87,349.825,349.87,351,20220519
350.22,350.79,349.94,350.1,3554,20220519
349.32,349.55,349.32,349.55,200,20220519
350.1488,350.1488,348.57,348.57,6600,20220519
348.895,349.785,348.455,349.785,1700,20220519
349.4589,349.89,349.28,349.7201,6200,20220519
350.79,350.94,350.29,350.94,1100,20220519
351.45,351.99,351.35,351.89,5960,20220519
352.11,352.11,351.67,351.67,900,20220519
351.49,351.605,349.66,349.66,1100,20220519
350.61,352.16,350.42,352.16,576,20220519
352.66,354.96,352.66,354.96,2264,20220519
355.25,356.42,354.96,355.78,1865,20220519
356.275,356.275,355.51,356.11,2100,20220519
356.07,356.07,355.26,355.26,1236,20220519
355.42,355.42,354.82,354.82,7246,20220519
354.76,354.76,354.1701,354.1701,651,20220519
354.25,355.165,354.1706,354.74,2010,20220519
354.58,354.8,354.38,354.58,760,20220519
354.29,354.89,354.27,354.89,500,20220519
354.4,355.0,354.28,355.0,1094,20220519
355.135,355.72,355.13,355.47,2204,20220519
355.29,355.29,354.66,354.66,1700,20220519
354.845,354.845,354.05,354.05,1000,20220519
354.12,354.19,353.97,354.13,929,20220519
354.56,354.56,354.14,354.1678,695,20220519
354.31,355.11,354.31,354.8601,1000,20220519
355.0525,355.13,354.4364,354.88,2822,20220519
354.58,355.025,354.58,355.025,548,20220519
355.13,355.13,354.61,354.61,700,20220519
354.69,355.51,354.69,355.48,1900,20220519
355.435,355.435,354.7,355.0,2912,20220519
354.49,354.58,354.49,354.58,203,20220519
354.63,354.63,353.8797,353.8797,307,20220519
354.19,354.19,353.79,354.0,600,20220519
353.9894,354.0241,353.65,353.65,1654,20220519
353.65,353.65,352.42,352.42,300,20220519
352.77,352.77,351.83,352.51,1162,20220519
352.08,352.08,352.08,352.08,100,20220519
351.43,351.94,351.43,351.885,800,20220519
352.16,352.25,352.1314,352.1314,550,20220519
351.42,351.58,351.38,351.5,600,20220519
351.89,352.1,351.81,351.81,1200,20220519
352.365,352.385,352.0,352.0,1100,20220519
351.78,352.305,351.72,352.17,900,20220519
352.54,353.09,351.97,352.03,2582,20220519
351.88,351.93,351.55,351.93,667,20220519
351.3,351.49,351.3,351.48,300,20220519
351.29,351.29,350.0,350.58,1100,20220519
350.47,350.47,350.14,350.4,500,20220519
350.405,350.52,350.31,350.51,1200,20220519
350.21,350.3,350.19,350.3,400,20220519
350.35,350.68,350.34,350.476,1000,20220519
350.03,350.2,349.32,349.33,1000,20220519
349.04,349.08,348.9486,348.995,800,20220519
349.36,349.67,349.252,349.67,735,20220519
349.3682,350.3,349.3682,350.3,1733,20220519
