open,high,low,close,volume,datetime
488.26,489.21,487.7,487.98,37489,20220518
487.79,488.2574,487.7,487.7,710,20220518
487.74,488.45,487.3,488.36,8259,20220518
488.36,488.36,488.135,488.135,200,20220518
487.84,487.9,487.38,487.49,1434,20220518
487.74,488.215,487.64,487.65,2404,20220518
487.89,488.38,487.55,487.64,5538,20220518
488.01,488.15,487.4113,487.4113,813,20220518
487.7,487.7,486.81,486.81,1241,20220518
486.81,486.81,486.605,486.605,300,20220518
486.3,486.63,485.85,486.02,3029,20220518
485.8,486.045,485.51,485.51,3205,20220518
485.51,485.7,484.89,484.89,3781,20220518
484.86,485.54,484.81,485.54,2032,20220518
485.19,485.19,484.83,484.83,1116,20220518
484.28,485.35,484.1901,485.29,2149,20220518
485.35,485.545,484.85,484.975,1300,20220518
484.97,485.22,484.78,485.15,1252,20220518
484.71,485.0,484.69,484.97,1200,20220518
484.97,484.99,484.56,484.87,1960,20220518
484.88,484.88,483.98,483.98,3100,20220518
483.98,484.0,483.55,483.6,3153,20220518
483.72,483.72,483.41,483.57,931,20220518
483.57,483.7831,483.17,483.49,3450,20220518
483.63,483.63,483.0,483.11,1918,20220518
483.035,483.035,482.6,482.66,1499,20220518
482.745,482.935,482.335,482.64,8460,20220518
482.578,482.578,481.99,481.99,2226,20220518
482.23,482.23,481.51,481.65,4765,20220518
481.4353,482.68,481.345,482.52,3255,20220518
482.54,482.54,481.4,481.645,1318,20220518
481.73,481.8,480.645,480.645,6022,20220518
480.61,480.69,479.85,480.1,5530,20220518
480.09,480.29,479.85,480.25,1340,20220518
480.65,480.96,480.175,480.47,4930,20220518
480.47,480.99,480.17,480.3,4451,20220518
480.31,480.77,480.26,480.425,2924,20220518
480.27,480.415,479.47,479.54,10775,20220518
479.0,479.05,478.62,478.89,6316,20220518
478.97,479.275,478.67,478.7,1444,20220518
478.63,479.0,478.63,478.99,1051,20220518
479.01,479.41,478.8254,479.41,2201,20220518
479.6452,479.778,479.58,479.77,1089,20220518
479.59,480.145,479.48,480.14,3044,20220518
480.23,480.36,480.23,480.36,800,20220518
480.38,480.49,480.03,480.38,2015,20220518
