open,high,low,close,volume,datetime
232.32,232.35,231.24,231.24,63215,20220518
231.04,232.045,231.0,232.045,2857,20220518
232.005,232.005,231.21,231.68,5432,20220518
231.735,231.795,231.18,231.49,1971,20220518
231.26,231.35,231.04,231.17,5028,20220518
230.99,231.49,230.99,231.335,1962,20220518
231.35,231.6,231.35,231.6,300,20220518
231.65,231.735,231.02,231.11,4109,20220518
231.5,231.5,230.89,231.045,4931,20220518
230.83,230.935,230.19,230.205,13154,20220518
230.21,230.3,229.59,229.6,4653,20220518
229.64,229.83,229.6,229.83,2060,20220518
229.78,229.78,229.51,229.53,1146,20220518
229.55,229.94,229.53,229.5856,1480,20220518
229.62,229.77,229.58,229.77,1100,20220518
229.62,229.62,229.48,229.48,1200,20220518
229.38,229.48,229.32,229.45,1100,20220518
229.32,229.4799,228.8301,228.95,3029,20220518
229.17,229.38,229.14,229.38,1300,20220518
229.37,229.48,229.07,229.399,1638,20220518
229.35,229.55,229.31,229.31,1507,20220518
229.27,229.39,229.12,229.39,2421,20220518
229.25,229.315,229.04,229.04,1956,20220518
229.02,229.06,228.385,228.57,2720,20220518
228.38,228.66,228.3,228.6,2605,20220518
228.6,228.9322,228.57,228.8,4989,20220518
228.79,229.0,228.62,228.62,2392,20220518
228.66,228.78,228.51,228.73,2803,20220518
228.56,228.89,228.56,228.77,2812,20220518
228.7,229.27,228.43,228.7,5550,20220518
228.77,228.77,228.395,228.74,3253,20220518
228.75,229.1739,228.55,229.1739,984,20220518
229.02,229.13,228.99,229.13,709,20220518
229.25,229.29,229.18,229.18,700,20220518
229.13,229.24,229.1,229.19,2458,20220518
228.96,229.14,228.96,229.055,1688,20220518
229.095,229.095,228.85,228.85,1214,20220518
228.73,228.855,228.66,228.855,4052,20220518
228.64,228.685,228.55,228.625,1100,20220518
228.65,228.65,228.23,228.3759,4071,20220518
228.39,228.43,228.39,228.39,579,20220518
228.415,228.42,228.16,228.215,1852,20220518
228.1635,228.18,227.7417,227.84,2894,20220518
227.81,227.83,227.73,227.83,3166,20220518
227.71,227.9,227.67,227.9,2099,20220518
227.9,227.93,227.81,227.93,2204,20220518
227.86,227.91,227.755,227.86,1200,20220518
227.795,227.795,227.69,227.69,1954,20220518
227.58,227.645,227.51,227.53,1965,20220518
227.53,227.71,227.43,227.61,6880,20220518
227.55,227.57,227.38,227.525,1267,20220518
227.57,227.57,227.36,227.42,1222,20220518
227.47,227.47,227.12,227.18,4020,20220518
227.08,227.19,227.02,227.02,2562,20220518
226.95,226.95,226.72,226.823,4421,20220518
226.72,226.97,226.72,226.85,3338,20220518
226.77,226.99,226.77,226.94,1815,20220518
226.97,226.97,226.865,226.88,1255,20220518
226.9,226.9,226.57,226.615,3611,20220518
226.56,226.845,226.51,226.521,6659,20220518
226.565,226.6,226.29,226.6,1839,20220518
226.72,226.8671,226.62,226.63,5651,20220518
226.605,226.62,226.195,226.22,4093,20220518
226.23,226.51,226.23,226.51,1333,20220518
226.48,226.49,226.25,226.4,4580,20220518
226.4,226.445,226.31,226.34,1806,20220518
226.33,226.73,226.33,226.73,1778,20220518
226.73,226.73,226.4401,226.48,12118,20220518
226.44,226.62,226.425,226.57,2819,20220518
226.59,226.6769,226.485,226.54,1100,20220518
226.57,226.66,226.4347,226.65,1701,20220518
226.6997,226.75,226.58,226.75,2087,20220518
