open,high,low,close,volume,datetime
22.53,22.86,22.53,22.65,22951,20220518
22.61,22.61,22.26,22.34,13164,20220518
22.34,22.35,22.12,22.22,14015,20220518
22.17,22.17,21.935,22.01,7443,20220518
22.03,22.1,21.84,21.84,12583,20220518
21.86,22.1,21.81,22.1,8488,20220518
22.05,22.06,21.84,21.88,7710,20220518
21.84,21.84,21.68,21.73,7189,20220518
21.71,21.8,21.71,21.77,3900,20220518
21.79,21.86,21.76,21.85,8152,20220518
21.835,21.835,21.7,21.78,15415,20220518
21.78,21.87,21.76,21.76,1900,20220518
21.75,21.755,21.68,21.7,5279,20220518
21.705,21.705,21.64,21.68,7069,20220518
21.7,21.73,21.63,21.65,2100,20220518
21.66,21.7388,21.65,21.71,3835,20220518
21.72,21.82,21.72,21.79,7222,20220518
21.785,21.93,21.78,21.93,3289,20220518
21.93,21.94,21.91,21.93,1100,20220518
21.95,21.99,21.885,21.99,3540,20220518
22.0,22.03,21.985,22.03,2369,20220518
22.04,22.07,22.01,22.07,3089,20220518
22.07,22.16,22.07,22.155,3765,20220518
22.23,22.29,22.2,22.29,1400,20220518
22.27,22.35,22.26,22.33,1146,20220518
22.31,22.32,22.24,22.27,1800,20220518
22.21,22.24,22.14,22.14,4777,20220518
22.1,22.14,22.1,22.1,637,20220518
22.1,22.16,22.08,22.12,14538,20220518
22.12,22.17,22.1,22.17,1200,20220518
22.2,22.32,22.195,22.32,3775,20220518
22.34,22.42,22.34,22.42,2400,20220518
22.39,22.39,22.27,22.3,5660,20220518
22.29,22.31,22.27,22.31,3320,20220518
22.33,22.41,22.33,22.39,4100,20220518
22.38,22.38,22.27,22.27,12819,20220518
22.26,22.27,22.2,22.21,9036,20220518
22.23,22.24,22.11,22.1205,5943,20220518
22.09,22.13,22.07,22.08,3917,20220518
22.07,22.1,22.04,22.1,10572,20220518
22.11,22.17,22.09,22.17,4924,20220518
22.17,22.22,22.16,22.22,10607,20220518
22.2,22.2,22.1,22.13,6499,20220518
22.15,22.19,22.15,22.16,13575,20220518
22.15,22.195,22.12,22.18,3354,20220518
22.18,22.18,22.14,22.18,2100,20220518
22.19,22.2,22.19,22.19,1788,20220518
22.19,22.21,22.16,22.16,1403,20220518
22.16,22.18,22.14,22.16,5519,20220518
22.14,22.15,22.12,22.14,4809,20220518
22.135,22.29,22.135,22.27,3452,20220518
22.28,22.292,22.23,22.28,5935,20220518
22.28,22.31,22.28,22.3,2583,20220518
