open,high,low,close,volume,datetime
49.4,49.42,49.21,49.22,59719,20220518
49.21,49.235,49.11,49.13,6772,20220518
49.12,49.17,48.98,49.07,11573,20220518
49.06,49.06,49.01,49.02,9257,20220518
49.01,49.11,49.01,49.11,5882,20220518
49.1,49.21,49.07,49.21,12010,20220518
49.23,49.24,49.11,49.23,6918,20220518
49.23,49.239,49.11,49.13,4885,20220518
49.14,49.18,49.14,49.17,3060,20220518
49.165,49.165,49.1,49.1327,9154,20220518
49.13,49.145,49.08,49.08,10200,20220518
49.11,49.21,49.11,49.17,15416,20220518
49.17,49.18,49.04,49.05,15369,20220518
49.04,49.05,48.97,49.05,8851,20220518
49.06,49.16,49.06,49.16,13669,20220518
49.155,49.2505,49.15,49.2505,26794,20220518
49.25,49.33,49.2,49.32,12409,20220518
49.33,49.41,49.31,49.4,9208,20220518
49.42,49.42,49.36,49.41,6646,20220518
49.41,49.46,49.37,49.45,15057,20220518
49.46,49.46,49.32,49.32,11893,20220518
49.32,49.43,49.3,49.355,8575,20220518
49.35,49.39,49.325,49.37,5447,20220518
49.365,49.395,49.31,49.365,6575,20220518
49.365,49.37,49.325,49.325,4527,20220518
49.33,49.375,49.3188,49.32,7998,20220518
49.315,49.315,49.23,49.23,3326,20220518
49.23,49.28,49.19,49.24,40236,20220518
49.225,49.23,49.17,49.195,12636,20220518
49.195,49.2,49.14,49.18,4833,20220518
49.19,49.26,49.18,49.255,3584,20220518
49.26,49.3276,49.259,49.29,7470,20220518
49.32,49.35,49.3,49.34,5793,20220518
49.35,49.375,49.32,49.335,6071,20220518
49.34,49.36,49.32,49.34,9264,20220518
49.34,49.39,49.33,49.35,5971,20220518
49.37,49.38,49.28,49.28,3251,20220518
49.28,49.28,49.23,49.23,5081,20220518
49.22,49.22,49.175,49.18,6327,20220518
49.18,49.195,49.12,49.19,13657,20220518
49.17,49.205,49.17,49.19,5014,20220518
49.19,49.205,49.16,49.18,7170,20220518
49.1799,49.18,49.15,49.155,6820,20220518
49.155,49.21,49.155,49.2,4635,20220518
49.19,49.26,49.19,49.26,2456,20220518
49.25,49.27,49.22,49.27,3047,20220518
49.265,49.296,49.2427,49.28,4109,20220518
49.27,49.31,49.25,49.29,5466,20220518
49.28,49.315,49.28,49.29,5043,20220518
49.29,49.33,49.27,49.32,13617,20220518
