open,high,low,close,volume,datetime
202.82,203.55,202.82,203.45,139273,20220518
203.56,204.29,203.55,203.885,28644,20220518
203.755,204.2099,203.07,203.26,20457,20220518
203.22,203.68,203.21,203.53,15856,20220518
203.56,203.91,203.21,203.37,23751,20220518
203.26,204.43,203.195,204.415,12096,20220518
204.37,205.07,204.36,204.97,38683,20220518
204.89,205.3478,204.89,205.25,29053,20220518
205.32,205.46,205.03,205.09,11424,20220518
205.0929,205.12,204.09,204.15,14234,20220518
204.155,204.75,204.05,204.53,124662,20220518
204.57,204.745,204.39,204.41,12564,20220518
204.4,204.625,204.13,204.145,18862,20220518
204.205,204.245,204.0,204.05,64482,20220518
204.02,204.54,204.02,204.5,7989,20220518
204.5675,204.84,204.47,204.82,13525,20220518
204.83,204.98,204.585,204.67,13581,20220518
204.68,205.2387,204.68,205.17,11397,20220518
205.17,205.29,205.05,205.19,10857,20220518
205.21,205.21,204.9,204.9559,5655,20220518
205.07,205.29,204.97,204.97,11807,20220518
204.91,205.16,204.9,204.99,10592,20220518
204.965,205.15,204.812,205.14,18067,20220518
205.1,205.4,204.9101,204.97,17864,20220518
204.97,205.22,204.94,205.06,14232,20220518
204.99,205.0782,204.505,204.53,13769,20220518
204.46,204.46,204.26,204.4,7413,20220518
204.41,204.46,204.24,204.25,10045,20220518
204.2521,204.48,204.12,204.48,4965,20220518
204.475,204.5,204.3904,204.455,3185,20220518
204.455,204.54,204.2825,204.54,6505,20220518
204.44,204.76,204.41,204.6912,8819,20220518
204.6757,204.68,204.5,204.64,24896,20220518
204.67,204.76,204.51,204.51,26399,20220518
204.48,204.48,204.11,204.28,11422,20220518
204.185,204.62,204.185,204.62,36901,20220518
204.595,204.66,204.42,204.45,18878,20220518
204.45,204.66,204.38,204.5334,6204,20220518
204.4919,204.55,204.41,204.52,11212,20220518
204.47,204.47,204.21,204.29,11792,20220518
204.235,204.53,204.175,204.495,5175,20220518
204.565,204.565,204.3375,204.495,18456,20220518
204.6,204.68,204.39,204.48,7312,20220518
