open,high,low,close,volume,datetime
29.43,29.49,29.36,29.36,67536,20220518
29.36,29.375,29.29,29.37,12109,20220518
29.37,29.385,29.275,29.28,34356,20220518
29.28,29.295,29.24,29.28,29957,20220518
29.285,29.33,29.2825,29.32,6694,20220518
29.32,29.32,29.23,29.24,24510,20220518
29.24,29.265,29.18,29.18,39802,20220518
29.18,29.205,29.16,29.17,18409,20220518
29.17,29.18,29.13,29.13,6745,20220518
29.12,29.125,29.02,29.06,22379,20220518
29.04,29.115,29.04,29.08,10693,20220518
29.08,29.08,29.005,29.005,22943,20220518
29.0,29.02,28.99,29.0,15512,20220518
29.01,29.03,28.995,29.01,54106,20220518
28.985,29.045,28.985,29.035,16809,20220518
29.035,29.125,29.025,29.08,27349,20220518
29.07,29.08,29.05,29.0599,19715,20220518
29.06,29.1,29.055,29.06,11330,20220518
29.05,29.09,29.04,29.06,24624,20220518
29.05,29.095,29.05,29.09,10128,20220518
29.1,29.11,29.035,29.05,23288,20220518
29.0499,29.125,29.047,29.09,29319,20220518
29.08,29.11,29.08,29.11,4400,20220518
29.1,29.12,29.1,29.115,3840,20220518
29.11,29.1353,29.1,29.13,9380,20220518
29.12,29.12,29.08,29.08,4042,20220518
29.08,29.09,29.06,29.07,26243,20220518
29.06,29.06,29.03,29.03,9197,20220518
29.03,29.03,28.99,29.02,77995,20220518
29.01,29.037,29.0,29.037,7099,20220518
29.04,29.1,29.025,29.1,6725,20220518
29.09,29.115,29.08,29.095,4510,20220518
29.0942,29.135,29.09,29.135,11256,20220518
29.14,29.195,29.14,29.16,13789,20220518
29.16,29.205,29.16,29.16,17686,20220518
29.16,29.205,29.16,29.205,5489,20220518
29.22,29.225,29.21,29.22,3911,20220518
29.215,29.23,29.21,29.23,5261,20220518
29.23,29.27,29.215,29.26,17494,20220518
29.265,29.27,29.25,29.25,5807,20220518
29.24,29.28,29.24,29.27,7641,20220518
29.27,29.32,29.25,29.32,27599,20220518
29.32,29.33,29.3,29.31,19372,20220518
29.3,29.39,29.3,29.375,14935,20220518
29.37,29.425,29.365,29.425,16963,20220518
29.42,29.44,29.39,29.4373,24692,20220518
29.435,29.435,29.4,29.43,10829,20220518
29.435,29.475,29.435,29.455,9233,20220518
29.46,29.49,29.45,29.485,13712,20220518
29.48,29.52,29.475,29.52,9393,20220518
29.51,29.54,29.5,29.52,28195,20220518
29.53,29.54,29.495,29.5,12417,20220518
29.505,29.52,29.5,29.51,8215,20220518
29.51,29.525,29.49,29.49,13135,20220518
29.49,29.51,29.48,29.49,20625,20220518
29.49,29.51,29.485,29.495,7744,20220518
29.5,29.55,29.5,29.545,32224,20220518
29.54,29.54,29.525,29.53,5295,20220518
29.53,29.555,29.5,29.5,113660,20220518
29.49,29.5,29.44,29.44,8327,20220518
29.43,29.46,29.415,29.435,14471,20220518
29.439,29.45,29.385,29.395,8615,20220518
29.4,29.41,29.35,29.36,24918,20220518
29.36,29.39,29.355,29.38,15096,20220518
29.37,29.38,29.35,29.375,20285,20220518
29.37,29.385,29.37,29.375,5088,20220518
29.38,29.39,29.355,29.36,7190,20220518
29.36,29.38,29.355,29.38,4502,20220518
29.38,29.428,29.37,29.405,14992,20220518
29.4,29.41,29.365,29.4,11257,20220518
29.4,29.4,29.3701,29.38,8231,20220518
29.38,29.44,29.37,29.44,28181,20220518
29.445,29.46,29.425,29.45,21603,20220518
29.46,29.465,29.46,29.465,6523,20220518
29.46,29.485,29.46,29.48,4137,20220518
29.48,29.48,29.47,29.48,6514,20220518
