open,high,low,close,volume,datetime
128.44,129.37,127.845,127.876,76522,20220518
127.91,128.59,127.72,128.59,30987,20220518
128.78,128.94,128.5,128.68,5607,20220518
128.435,128.435,127.794,127.86,7741,20220518
127.88,128.0,127.58,128.0,6688,20220518
127.99,128.328,127.98,128.04,10612,20220518
128.12,128.455,128.09,128.2964,4425,20220518
128.37,128.4699,128.275,128.329,7879,20220518
128.335,128.46,127.57,127.67,5224,20220518
127.625,127.7481,127.56,127.63,2877,20220518
127.585,127.62,127.16,127.29,9631,20220518
127.34,127.5,127.21,127.3601,6360,20220518
127.36,127.83,127.36,127.69,6004,20220518
127.76,127.89,127.73,127.76,8490,20220518
127.8,127.915,127.68,127.8,8329,20220518
127.65,127.97,127.59,127.95,5629,20220518
127.91,128.25,127.87,128.15,8867,20220518
128.21,128.28,128.08,128.25,4503,20220518
128.17,128.29,128.05,128.21,6851,20220518
128.26,128.42,128.26,128.295,10448,20220518
128.2921,128.32,127.75,127.755,6336,20220518
127.755,127.97,127.59,127.59,4111,20220518
127.57,127.93,127.54,127.795,3008,20220518
127.81,127.93,127.74,127.8886,1700,20220518
127.89,127.97,127.83,127.855,1832,20220518
127.865,127.865,127.53,127.5999,5170,20220518
127.57,127.57,127.31,127.34,3930,20220518
127.4,127.51,127.265,127.51,2470,20220518
127.39,127.57,127.26,127.41,5977,20220518
127.425,127.524,127.08,127.16,9095,20220518
127.14,127.515,127.12,127.41,6308,20220518
127.43,127.46,127.12,127.12,7981,20220518
127.195,127.34,127.045,127.045,8893,20220518
127.11,127.33,127.0,127.33,10126,20220518
127.3,127.51,127.24,127.27,8892,20220518
127.315,127.36,127.0,127.235,18498,20220518
127.17,127.27,127.07,127.205,8379,20220518
127.18,127.205,126.81,127.0,12967,20220518
127.105,127.12,126.81,127.12,11447,20220518
127.0668,127.16,126.76,126.81,13733,20220518
126.77,126.89,126.67,126.72,6984,20220518
126.765,126.935,126.72,126.86,6863,20220518
126.89,126.89,126.5,126.51,7277,20220518
126.56,126.84,126.55,126.7,10548,20220518
126.69,126.78,126.63,126.76,6069,20220518
126.67,126.755,126.39,126.39,11433,20220518
126.36,126.4,126.18,126.35,11272,20220518
