open,high,low,close,volume,datetime
27.57,27.81,27.51,27.807,7357,20220518
27.715,27.73,27.63,27.6686,3385,20220518
27.65,27.79,27.63,27.7851,4026,20220518
27.75,27.75,27.7,27.7,328,20220518
27.72,27.72,27.61,27.61,750,20220518
27.67,27.72,27.67,27.72,600,20220518
27.7,27.7,27.65,27.675,800,20220518
27.665,27.665,27.66,27.66,900,20220518
27.62,27.63,27.57,27.59,1741,20220518
27.59,27.59,27.54,27.54,200,20220518
27.58,27.605,27.57,27.57,1350,20220518
27.54,27.54,27.54,27.54,123,20220518
27.5641,27.6,27.5401,27.55,2329,20220518
27.575,27.575,27.5516,27.5516,650,20220518
27.55,27.58,27.55,27.58,950,20220518
27.57,27.6,27.565,27.5701,1105,20220518
27.61,27.635,27.61,27.635,381,20220518
27.63,27.69,27.63,27.675,2244,20220518
27.69,27.7407,27.69,27.725,1569,20220518
27.73,27.73,27.69,27.69,2129,20220518
27.67,27.698,27.67,27.69,501,20220518
27.68,27.73,27.68,27.73,417,20220518
27.7126,27.73,27.7126,27.72,750,20220518
27.71,27.7423,27.71,27.73,2535,20220518
27.71,27.73,27.68,27.71,4061,20220518
27.71,27.71,27.69,27.69,200,20220518
27.67,27.67,27.64,27.64,1112,20220518
27.67,27.68,27.67,27.68,900,20220518
27.68,27.695,27.68,27.68,575,20220518
27.73,27.73,27.73,27.73,100,20220518
27.75,27.78,27.731,27.731,4868,20220518
27.725,27.725,27.67,27.69,3000,20220518
27.69,27.6966,27.69,27.69,414,20220518
27.7,27.76,27.7,27.74,846,20220518
27.74,27.74,27.73,27.737,2296,20220518
27.7589,27.7589,27.7405,27.7405,208,20220518
27.73,27.745,27.73,27.745,1100,20220518
27.745,27.8,27.74,27.79,4199,20220518
27.795,27.81,27.795,27.81,1501,20220518
27.8184,27.8184,27.785,27.79,4771,20220518
27.79,27.83,27.79,27.8,1643,20220518
27.8,27.8,27.8,27.8,200,20220518
27.8,27.84,27.79,27.82,2903,20220518
27.83,27.83,27.8,27.8,2608,20220518
27.819,27.819,27.819,27.819,100,20220518
27.8,27.82,27.8,27.82,486,20220518
27.82,27.82,27.79,27.8,6192,20220518
27.81,27.86,27.81,27.86,500,20220518
27.875,27.89,27.875,27.89,200,20220518
27.89,27.89,27.89,27.89,937,20220518
27.89,27.89,27.83,27.83,2466,20220518
27.8,27.81,27.8,27.81,200,20220518
27.82,27.82,27.82,27.82,100,20220518
27.83,27.86,27.83,27.83,3539,20220518
27.82,27.82,27.81,27.81,1000,20220518
27.8,27.81,27.8,27.81,1011,20220518
27.8,27.807,27.79,27.79,1900,20220518
27.8,27.809,27.75,27.781,1953,20220518
27.77,27.77,27.77,27.77,100,20220518
27.77,27.78,27.77,27.78,1062,20220518
27.77,27.81,27.77,27.81,1103,20220518
27.8,27.81,27.79,27.79,1648,20220518
27.79,27.79,27.78,27.79,1800,20220518
27.8,27.82,27.8,27.8,2600,20220518
27.805,27.81,27.79,27.8,2615,20220518
27.8,27.8,27.8,27.8,400,20220518
27.8,27.84,27.8,27.82,3391,20220518
27.85,27.85,27.845,27.845,200,20220518
27.86,27.86,27.84,27.85,1710,20220518
27.855,27.855,27.855,27.855,100,20220518
27.87,27.87,27.87,27.87,400,20220518
27.885,27.94,27.885,27.93,3711,20220518
27.94,27.99,27.94,27.96,4315,20220518
27.97,27.98,27.97,27.98,403,20220518
27.98,28.01,27.98,28.01,4386,20220518
28.01,28.04,28.01,28.015,4503,20220518
28.0255,28.04,28.01,28.04,1985,20220518
28.01,28.025,28.01,28.02,984,20220518
28.03,28.05,27.995,27.995,3634,20220518
28.01,28.01,28.01,28.01,100,20220518
27.99,28.0,27.98,27.997,1400,20220518
27.98,27.98,27.97,27.97,675,20220518
27.98,27.98,27.98,27.98,100,20220518
27.995,28.0,27.99,28.0,400,20220518
28.06,28.06,28.05,28.05,802,20220518
28.05,28.06,28.035,28.06,1897,20220518
28.055,28.06,28.04,28.041,1801,20220518
28.02,28.02,28.015,28.02,800,20220518
28.03,28.03,28.01,28.01,703,20220518
27.96,27.98,27.96,27.98,1008,20220518
