open,high,low,close,volume,datetime
172.57,173.11,172.38,172.38,11525,20220518
172.63,172.715,172.63,172.715,200,20220518
172.53,172.62,172.53,172.62,200,20220518
172.73,172.73,172.73,172.73,100,20220518
172.39,172.39,172.15,172.3,1000,20220518
172.05,172.05,171.9,171.9,400,20220518
171.75,171.75,171.42,171.54,300,20220518
171.66,171.66,171.59,171.59,200,20220518
171.5,171.5,171.455,171.455,500,20220518
171.37,171.37,171.33,171.33,200,20220518
171.395,171.56,171.375,171.56,2500,20220518
171.44,171.56,171.39,171.475,1400,20220518
171.5,171.57,171.46,171.5,4855,20220518
171.37,171.37,170.93,171.02,2175,20220518
171.04,171.04,170.875,170.91,2100,20220518
170.78,170.78,170.73,170.76,898,20220518
170.71,170.81,170.63,170.77,1811,20220518
170.7801,171.34,170.7801,171.32,3788,20220518
171.295,171.64,171.295,171.47,1800,20220518
171.41,171.41,171.22,171.2479,2070,20220518
171.24,171.24,171.03,171.075,600,20220518
170.94,170.94,170.75,170.75,200,20220518
170.84,170.93,170.795,170.795,1089,20220518
170.67,170.67,170.56,170.585,700,20220518
170.59,170.67,170.59,170.63,700,20220518
170.64,170.86,170.64,170.82,1790,20220518
170.745,170.75,170.6,170.64,500,20220518
170.57,170.72,170.57,170.7,400,20220518
170.67,170.67,170.375,170.51,2275,20220518
170.57,170.57,170.57,170.57,100,20220518
170.54,170.74,170.54,170.68,800,20220518
170.55,170.605,170.35,170.35,600,20220518
170.42,170.42,170.02,170.14,2775,20220518
170.15,170.22,170.145,170.145,1200,20220518
170.07,170.07,170.02,170.02,400,20220518
170.05,170.1522,169.94,169.94,600,20220518
169.915,169.97,169.86,169.86,400,20220518
169.755,169.99,169.755,169.875,1915,20220518
169.79,169.82,169.76,169.795,1730,20220518
169.85,169.94,169.84,169.91,1100,20220518
169.82,169.845,169.78,169.825,1600,20220518
169.83,170.13,169.83,170.13,1992,20220518
170.08,170.17,170.04,170.17,600,20220518
170.085,170.12,169.99,169.99,600,20220518
170.0,170.01,169.735,169.735,3700,20220518
169.71,169.78,169.53,169.695,5534,20220518
169.74,169.76,169.74,169.76,200,20220518
169.77,169.79,169.7,169.79,400,20220518
169.93,170.18,169.93,170.01,600,20220518
170.08,170.09,170.08,170.09,200,20220518
170.1,170.18,170.1,170.18,600,20220518
170.04,170.14,170.04,170.14,200,20220518
170.14,170.14,170.14,170.14,499,20220518
170.26,170.45,170.26,170.39,700,20220518
170.325,170.4,170.325,170.4,200,20220518
170.42,170.42,170.42,170.42,200,20220518
170.165,170.165,169.83,169.955,2372,20220518
169.92,170.02,169.92,170.01,500,20220518
169.97,170.11,169.96,170.0,4200,20220518
170.0,170.0,169.93,169.96,1000,20220518
170.0,170.02,169.9,169.94,1000,20220518
169.65,169.65,169.65,169.65,100,20220518
169.6,169.66,169.6,169.66,200,20220518
169.59,169.85,169.59,169.85,4269,20220518
169.82,169.82,169.81,169.81,489,20220518
169.82,169.93,169.82,169.93,200,20220518
169.985,170.0,169.85,170.0,833,20220518
169.86,169.93,169.85,169.93,400,20220518
