open,high,low,close,volume,datetime
260.26,260.89,259.48,259.9059,18574,20220518
260.88,260.88,260.88,260.88,100,20220518
261.46,261.61,261.46,261.595,400,20220518
261.365,262.0799,261.21,261.21,1700,20220518
261.85,261.85,261.4,261.605,515,20220518
261.53,261.53,261.46,261.46,900,20220518
261.46,261.46,261.46,261.46,150,20220518
261.34,261.93,261.185,261.93,641,20220518
261.92,261.96,261.48,261.55,1401,20220518
261.36,261.36,260.91,261.13,500,20220518
260.99,260.99,260.76,260.77,700,20220518
261.33,261.43,261.1,261.405,1140,20220518
261.25,261.907,261.23,261.825,1800,20220518
261.735,261.81,261.36,261.63,813,20220518
261.535,261.54,261.515,261.54,1500,20220518
261.51,261.8,261.165,261.41,2091,20220518
261.395,261.395,261.19,261.19,600,20220518
260.76,260.76,260.73,260.73,700,20220518
260.7,260.87,260.7,260.775,400,20220518
260.96,260.96,260.49,260.49,1570,20220518
260.395,260.395,260.11,260.17,701,20220518
260.025,260.025,259.8,259.855,500,20220518
260.025,260.025,259.7,259.78,500,20220518
259.785,259.785,259.57,259.57,200,20220518
259.695,259.695,259.54,259.695,390,20220518
259.82,259.87,259.75,259.75,300,20220518
259.96,259.96,259.695,259.695,300,20220518
259.69,259.69,259.38,259.48,1000,20220518
259.48,259.75,259.48,259.75,1500,20220518
259.735,259.735,259.03,259.03,1940,20220518
259.52,259.72,259.52,259.6,2468,20220518
259.58,259.63,259.44,259.63,700,20220518
259.54,259.64,259.41,259.64,300,20220518
259.44,259.64,259.38,259.51,3800,20220518
259.53,259.6,259.38,259.43,1700,20220518
259.345,259.438,258.75,259.045,1246,20220518
258.71,258.87,258.14,258.17,2200,20220518
258.23,258.49,258.11,258.185,2845,20220518
258.175,258.305,257.78,258.025,1078,20220518
257.955,258.02,257.705,257.705,1300,20220518
257.755,257.755,257.53,257.55,970,20220518
257.63,257.635,257.51,257.61,1000,20220518
257.41,257.54,257.26,257.495,2043,20220518
257.6,258.05,257.6,257.9529,6964,20220518
258.06,258.42,258.06,258.42,2067,20220518
258.3122,258.315,257.75,257.795,2700,20220518
257.95,258.06,257.95,258.02,600,20220518
258.03,258.11,257.975,257.975,1233,20220518
258.005,258.25,257.94,258.11,2071,20220518
258.195,258.195,257.955,257.955,700,20220518
258.18,258.19,258.11,258.11,400,20220518
258.27,258.27,257.88,258.0,1307,20220518
257.99,258.08,257.92,257.94,21260,20220518
257.91,258.25,257.71,258.25,1500,20220518
258.35,258.35,257.82,257.83,700,20220518
257.98,257.98,257.825,257.825,600,20220518
257.755,257.785,257.725,257.73,600,20220518
257.7031,257.72,257.6,257.675,643,20220518
257.655,257.665,257.36,257.51,900,20220518
257.54,257.735,257.416,257.51,1600,20220518
257.69,257.69,257.39,257.4878,400,20220518
257.41,257.41,257.3,257.355,500,20220518
257.37,257.37,257.355,257.355,200,20220518
257.37,257.41,257.25,257.41,1000,20220518
257.31,257.38,256.98,257.05,1102,20220518
256.83,257.01,256.83,256.93,500,20220518
256.785,256.81,256.53,256.53,640,20220518
256.79,257.03,256.77,256.9473,5085,20220518
256.9,257.02,256.39,256.87,27800,20220518
256.81,256.87,256.62,256.805,1100,20220518
256.94,257.07,256.88,257.05,1500,20220518
256.99,257.045,256.84,257.045,400,20220518
257.065,257.065,256.98,256.98,400,20220518
257.11,257.18,257.08,257.09,1200,20220518
257.02,257.18,257.0,257.04,500,20220518
257.17,257.45,257.12,257.34,1300,20220518
257.29,257.335,257.29,257.335,300,20220518
257.405,257.405,257.405,257.405,100,20220518
257.37,257.425,257.27,257.27,400,20220518
257.42,257.42,257.09,257.09,700,20220518
257.14,257.14,256.935,256.935,600,20220518
256.96,257.19,256.845,257.19,2900,20220518
257.19,257.2558,257.19,257.24,600,20220518
257.31,257.31,257.0,257.0,1800,20220518
257.17,257.19,257.16,257.18,900,20220518
257.14,257.16,256.965,256.985,2007,20220518
256.78,256.8,256.63,256.63,600,20220518
256.42,256.44,256.13,256.13,800,20220518
256.305,256.39,256.14,256.34,1616,20220518
256.39,256.39,256.19,256.19,1460,20220518
256.15,256.39,256.15,256.275,700,20220518
256.39,256.39,255.75,255.75,3900,20220518
255.7,256.02,255.7,255.93,3823,20220518
256.12,256.12,255.58,255.67,2400,20220518
255.7,255.8,255.5,255.57,2200,20220518
255.545,255.63,255.21,255.26,2785,20220518
255.125,255.39,255.125,255.3,1500,20220518
255.3,255.31,255.145,255.145,2902,20220518
255.255,255.32,255.09,255.09,6153,20220518
