open,high,low,close,volume,datetime
56.95,57.35,56.94,57.24,22025,20220518
57.16,57.23,57.12,57.23,1180,20220518
57.18,57.22,56.9,56.9,2203,20220518
56.88,56.98,56.8695,56.955,4667,20220518
56.92,57.02,56.896,56.9553,3725,20220518
57.01,57.05,56.93,56.93,1255,20220518
57.01,57.01,56.94,56.94,650,20220518
57.04,57.05,57.005,57.005,1000,20220518
56.9,56.9,56.8201,56.8201,1053,20220518
56.82,56.88,56.8,56.83,1018,20220518
56.8,56.835,56.795,56.835,1408,20220518
56.87,56.99,56.825,56.85,9102,20220518
56.81,56.92,56.78,56.92,1946,20220518
56.92,56.94,56.91,56.93,632,20220518
56.89,56.94,56.8,56.9149,3033,20220518
56.91,56.91,56.87,56.87,1062,20220518
56.85,56.85,56.77,56.77,600,20220518
56.8,56.84,56.8,56.84,1312,20220518
56.845,56.845,56.75,56.75,2870,20220518
56.73,56.77,56.69,56.69,1640,20220518
56.65,56.66,56.63,56.63,1570,20220518
56.6,56.62,56.59,56.605,465,20220518
56.49,56.53,56.49,56.53,826,20220518
56.52,56.545,56.51,56.51,1200,20220518
56.41,56.48,56.4,56.4,2092,20220518
56.38,56.44,56.38,56.42,2012,20220518
56.42,56.43,56.36,56.38,4351,20220518
56.3338,56.38,56.33,56.38,996,20220518
56.385,56.45,56.36,56.45,1205,20220518
56.41,56.455,56.375,56.455,2104,20220518
56.44,56.55,56.44,56.55,3672,20220518
56.57,56.62,56.55,56.6,2700,20220518
56.575,56.61,56.53,56.53,2740,20220518
56.515,56.64,56.515,56.64,2295,20220518
56.68,56.74,56.68,56.7,11875,20220518
56.7,56.705,56.64,56.67,3101,20220518
56.66,56.705,56.66,56.7,1000,20220518
56.7,56.705,56.65,56.65,1695,20220518
56.65,56.77,56.64,56.75,6417,20220518
56.72,56.77,56.68,56.76,1703,20220518
56.78,56.79,56.74,56.744,3610,20220518
56.79,56.81,56.79,56.81,568,20220518
56.81,56.815,56.81,56.815,300,20220518
56.83,56.875,56.83,56.858,1143,20220518
56.89,56.925,56.87,56.88,2161,20220518
56.86,56.88,56.83,56.88,1194,20220518
56.9,56.965,56.9,56.965,1837,20220518
56.96,57.0,56.96,57.0,1065,20220518
56.98,57.045,56.98,57.045,3360,20220518
57.09,57.1,57.07,57.07,3384,20220518
57.07,57.09,57.06,57.08,2061,20220518
57.1,57.149,57.1,57.11,8304,20220518
57.08,57.105,57.03,57.06,3511,20220518
57.06,57.11,57.06,57.11,500,20220518
57.06,57.11,57.05,57.11,1488,20220518
57.11,57.11,57.06,57.09,1000,20220518
57.11,57.12,57.05,57.08,2892,20220518
57.07,57.09,57.04,57.05,3495,20220518
57.05,57.1,57.03,57.1,1200,20220518
57.09,57.12,57.08,57.12,1085,20220518
57.09,57.09,57.07,57.085,1058,20220518
57.11,57.155,57.105,57.155,1700,20220518
57.17,57.17,57.17,57.17,100,20220518
57.151,57.18,57.15,57.175,1200,20220518
57.15,57.17,57.14,57.17,3695,20220518
57.15,57.21,57.13,57.21,2541,20220518
57.18,57.26,57.18,57.25,1625,20220518
57.26,57.3,57.25,57.3,1600,20220518
57.31,57.335,57.26,57.28,4129,20220518
57.275,57.32,57.21,57.32,1730,20220518
57.31,57.35,57.31,57.35,1100,20220518
57.37,57.41,57.34,57.38,17993,20220518
57.38,57.41,57.36,57.36,8957,20220518
57.36,57.36,57.29,57.29,2034,20220518
57.24,57.355,57.24,57.28,1175,20220518
57.28,57.28,57.28,57.28,956,20220518
57.24,57.31,57.23,57.285,1201,20220518
57.285,57.285,57.23,57.23,800,20220518
57.211,57.225,57.18,57.18,1855,20220518
57.18,57.18,57.151,57.175,756,20220518
57.185,57.19,57.17,57.19,500,20220518
57.18,57.21,57.18,57.21,950,20220518
57.22,57.23,57.21,57.21,710,20220518
57.19,57.195,57.171,57.171,1401,20220518
57.171,57.22,57.15,57.22,11621,20220518
57.24,57.24,57.22,57.22,1473,20220518
57.21,57.21,57.17,57.17,1453,20220518
57.17,57.23,57.16,57.23,2450,20220518
57.24,57.25,57.23,57.25,604,20220518
57.24,57.245,57.191,57.191,1000,20220518
57.19,57.22,57.18,57.18,1741,20220518
57.161,57.2,57.161,57.171,1489,20220518
57.181,57.22,57.181,57.22,1400,20220518
57.23,57.25,57.22,57.221,1303,20220518
57.23,57.23,57.14,57.14,900,20220518
57.15,57.19,57.15,57.18,1786,20220518
57.2,57.21,57.16,57.17,2931,20220518
57.16,57.2,57.13,57.2,2456,20220518
57.18,57.18,57.121,57.14,2400,20220518
57.14,57.19,57.14,57.19,500,20220518
57.17,57.18,57.145,57.145,1500,20220518
57.145,57.145,57.1375,57.1375,400,20220518
57.155,57.17,57.155,57.161,900,20220518
57.18,57.185,57.18,57.185,600,20220518
57.18,57.18,57.12,57.12,5511,20220518
57.12,57.14,57.12,57.12,1238,20220518
57.13,57.13,57.11,57.12,3286,20220518
57.095,57.105,57.095,57.105,213,20220518
57.08,57.08,57.01,57.01,500,20220518
56.995,57.02,56.97,56.98,1200,20220518
56.975,56.975,56.955,56.955,800,20220518
56.93,56.93,56.88,56.88,200,20220518
56.9,56.94,56.9,56.94,1737,20220518
56.9,56.95,56.9,56.94,600,20220518
56.96,56.96,56.94,56.94,694,20220518
56.96,56.96,56.96,56.96,100,20220518
56.98,57.0,56.975,56.985,1602,20220518
56.97,57.02,56.97,57.02,1010,20220518
57.0,57.0,56.99,57.0,1613,20220518
57.0,57.03,56.98,57.03,2600,20220518
57.05,57.05,57.02,57.04,1051,20220518
57.045,57.09,57.045,57.08,627,20220518
57.04,57.04,57.04,57.04,210,20220518
57.09,57.12,57.09,57.115,1007,20220518
57.091,57.12,57.091,57.115,792,20220518
57.14,57.14,57.14,57.14,100,20220518
57.17,57.17,57.13,57.13,821,20220518
57.15,57.15,57.095,57.14,4140,20220518
57.1378,57.15,57.11,57.11,800,20220518
57.15,57.15,57.135,57.135,1075,20220518
57.11,57.12,57.075,57.12,3462,20220518
57.12,57.14,57.1,57.1,706,20220518
57.1,57.13,57.091,57.13,705,20220518
57.11,57.11,57.04,57.04,900,20220518
57.03,57.04,57.01,57.04,761,20220518
56.96,56.975,56.9368,56.96,1364,20220518
56.95,56.985,56.95,56.97,2801,20220518
56.99,56.99,56.98,56.98,300,20220518
56.98,57.0,56.971,56.971,2246,20220518
56.99,56.99,56.97,56.97,1000,20220518
56.97,56.99,56.97,56.98,900,20220518
57.0,57.05,56.97,56.97,3264,20220518
56.96,56.96,56.88,56.88,1123,20220518
56.87,56.94,56.87,56.94,801,20220518
57.0,57.01,56.96,56.96,1202,20220518
56.96,56.96,56.96,56.96,106,20220518
56.98,57.01,56.98,57.0,1626,20220518
56.9999,57.0018,56.96,56.96,1300,20220518
56.94,56.97,56.94,56.97,600,20220518
56.95,56.96,56.94,56.96,700,20220518
56.951,56.96,56.95,56.96,500,20220518
56.97,56.97,56.94,56.94,300,20220518
56.96,56.97,56.94,56.94,700,20220518
56.94,56.94,56.851,56.88,1500,20220518
56.87,56.91,56.87,56.91,600,20220518
56.93,56.93,56.8894,56.8894,586,20220518
56.88,56.9,56.88,56.891,552,20220518
56.91,56.91,56.88,56.91,5835,20220518
56.89,56.89,56.89,56.89,401,20220518
56.91,56.91,56.88,56.88,3063,20220518
56.9,56.905,56.882,56.905,1189,20220518
56.9,56.93,56.9,56.92,650,20220518
56.91,56.91,56.91,56.91,100,20220518
56.89,56.935,56.89,56.914,1220,20220518
56.92,56.98,56.9195,56.98,1243,20220518
57.0,57.0,57.0,57.0,396,20220518
57.005,57.005,56.945,56.945,2482,20220518
56.96,56.96,56.905,56.91,1298,20220518
56.93,56.95,56.91,56.95,1951,20220518
56.95,56.95,56.93,56.93,400,20220518
56.91,56.92,56.88,56.88,1740,20220518
56.85,56.85,56.79,56.79,900,20220518
56.81,56.83,56.75,56.805,3912,20220518
56.81,56.86,56.81,56.86,13700,20220518
56.845,56.87,56.82,56.86,1930,20220518
56.87,56.87,56.85,56.86,336,20220518
56.83,56.83,56.78,56.78,2386,20220518
56.75,56.77,56.73,56.73,1108,20220518
56.73,56.74,56.703,56.703,1000,20220518
56.7,56.74,56.685,56.74,1124,20220518
56.725,56.725,56.7,56.7,590,20220518
56.69,56.69,56.64,56.68,3376,20220518
56.67,56.68,56.665,56.67,1307,20220518
56.71,56.72,56.67,56.71,1157,20220518
56.67,56.67,56.651,56.66,500,20220518
56.61,56.61,56.591,56.605,1050,20220518
56.62,56.64,56.62,56.64,900,20220518
56.66,56.67,56.62,56.655,1150,20220518
56.65,56.67,56.65,56.66,1286,20220518
56.66,56.68,56.66,56.67,630,20220518
56.69,56.69,56.68,56.68,317,20220518
56.69,56.69,56.665,56.673,1500,20220518
56.68,56.68,56.68,56.68,300,20220518
56.725,56.75,56.725,56.75,400,20220518
56.74,56.77,56.73,56.77,1673,20220518
56.764,56.764,56.73,56.73,903,20220518
56.74,56.75,56.72,56.73,3830,20220518
56.765,56.81,56.76,56.79,2877,20220518
56.79,56.85,56.79,56.85,467,20220518
56.84,56.85,56.83,56.85,629,20220518
56.85,56.85,56.811,56.83,1199,20220518
56.84,56.84,56.83,56.83,1306,20220518
56.86,56.87,56.841,56.841,1202,20220518
56.841,56.85,56.81,56.81,1184,20220518
56.82,56.82,56.8,56.8,300,20220518
56.81,56.82,56.81,56.81,400,20220518
56.8,56.825,56.79,56.825,1309,20220518
56.74,56.74,56.7,56.7,200,20220518
56.66,56.7,56.66,56.675,1469,20220518
56.69,56.69,56.64,56.645,899,20220518
56.66,56.66,56.6,56.6,200,20220518
56.55,56.56,56.535,56.56,601,20220518
56.51,56.51,56.48,56.51,800,20220518
56.52,56.55,56.51,56.52,817,20220518
56.52,56.53,56.45,56.45,400,20220518
56.46,56.46,56.435,56.46,1109,20220518
56.47,56.48,56.46,56.48,1017,20220518
56.48,56.51,56.48,56.51,1322,20220518
56.5,56.51,56.47,56.471,2124,20220518
56.45,56.5,56.45,56.5,2030,20220518
56.48,56.49,56.475,56.49,500,20220518
56.52,56.57,56.51,56.52,1784,20220518
56.55,56.56,56.54,56.56,1000,20220518
56.57,56.59,56.57,56.585,400,20220518
56.57,56.57,56.535,56.535,861,20220518
56.55,56.55,56.54,56.54,200,20220518
56.52,56.54,56.5,56.515,1963,20220518
56.53,56.57,56.53,56.555,794,20220518
56.555,56.57,56.555,56.57,300,20220518
56.605,56.62,56.6,56.61,649,20220518
56.591,56.62,56.59,56.61,659,20220518
56.59,56.59,56.53,56.54,3256,20220518
56.56,56.56,56.55,56.55,591,20220518
56.56,56.56,56.535,56.535,600,20220518
56.525,56.525,56.49,56.51,908,20220518
56.53,56.575,56.53,56.54,700,20220518
56.531,56.55,56.531,56.545,401,20220518
56.54,56.54,56.491,56.53,900,20220518
56.54,56.57,56.54,56.57,400,20220518
56.565,56.565,56.515,56.515,1300,20220518
56.511,56.53,56.51,56.53,400,20220518
56.49,56.58,56.49,56.58,1797,20220518
56.585,56.6,56.56,56.565,1603,20220518
56.56,56.56,56.54,56.56,900,20220518
56.55,56.58,56.55,56.575,600,20220518
56.555,56.6,56.555,56.6,800,20220518
56.581,56.635,56.581,56.635,711,20220518
56.635,56.66,56.62,56.645,1879,20220518
56.63,56.631,56.571,56.571,800,20220518
56.58,56.58,56.55,56.55,2051,20220518
56.56,56.57,56.52,56.52,900,20220518
56.53,56.57,56.53,56.57,501,20220518
56.565,56.59,56.55,56.56,1000,20220518
56.56,56.56,56.52,56.53,1112,20220518
56.505,56.505,56.48,56.49,2959,20220518
56.49,56.49,56.47,56.485,1700,20220518
56.47,56.49,56.465,56.47,1400,20220518
56.475,56.5,56.475,56.48,2223,20220518
56.47,56.5,56.461,56.49,1092,20220518
56.49,56.49,56.44,56.44,2046,20220518
56.425,56.43,56.4,56.405,1610,20220518
56.41,56.475,56.41,56.475,2274,20220518
56.47,56.475,56.42,56.42,1825,20220518
56.4,56.45,56.4,56.45,800,20220518
56.46,56.475,56.441,56.47,500,20220518
56.485,56.5,56.485,56.5,414,20220518
56.505,56.505,56.471,56.471,1097,20220518
56.505,56.56,56.505,56.55,2655,20220518
56.545,56.55,56.48,56.49,1419,20220518
56.5,56.51,56.455,56.46,1200,20220518
56.46,56.46,56.425,56.425,650,20220518
56.43,56.5,56.43,56.45,1859,20220518
56.48,56.48,56.46,56.48,400,20220518
56.46,56.46,56.405,56.42,1634,20220518
56.39,56.41,56.38,56.41,1300,20220518
56.405,56.42,56.371,56.42,892,20220518
56.43,56.47,56.43,56.47,900,20220518
56.47,56.51,56.41,56.41,1874,20220518
56.44,56.47,56.44,56.46,1102,20220518
56.411,56.44,56.39,56.402,2084,20220518
56.42,56.42,56.4,56.4,2185,20220518
56.42,56.43,56.39,56.42,1407,20220518
56.42,56.42,56.28,56.315,4081,20220518
56.33,56.43,56.33,56.41,2012,20220518
56.42,56.42,56.37,56.37,612,20220518
56.39,56.42,56.39,56.42,399,20220518
56.42,56.48,56.41,56.42,5227,20220518
56.42,56.45,56.42,56.45,992,20220518
56.42,56.44,56.41,56.44,2002,20220518
56.47,56.505,56.46,56.46,796,20220518
56.465,56.52,56.465,56.5,7790,20220518
56.471,56.5,56.47,56.47,707,20220518
56.49,56.51,56.49,56.51,300,20220518
56.55,56.59,56.55,56.59,1344,20220518
56.61,56.62,56.58,56.59,2023,20220518
56.6,56.6062,56.59,56.6062,1296,20220518
56.59,56.625,56.581,56.625,500,20220518
56.625,56.625,56.55,56.57,3607,20220518
56.54,56.54,56.5,56.5,300,20220518
56.485,56.5,56.44,56.46,1300,20220518
56.45,56.49,56.44,56.44,1543,20220518
56.4104,56.45,56.4,56.41,1233,20220518
56.43,56.44,56.39,56.39,1346,20220518
56.41,56.41,56.31,56.34,12480,20220518
56.35,56.35,56.3,56.31,1300,20220518
56.315,56.34,56.315,56.34,301,20220518
56.37,56.375,56.33,56.36,1527,20220518
56.37,56.41,56.37,56.4,1335,20220518
56.385,56.385,56.34,56.34,1244,20220518
56.34,56.34,56.31,56.34,500,20220518
56.33,56.33,56.33,56.33,500,20220518
56.33,56.33,56.3,56.31,2306,20220518
56.32,56.34,56.32,56.34,300,20220518
56.32,56.345,56.32,56.34,1890,20220518
56.35,56.35,56.28,56.28,1689,20220518
56.2777,56.305,56.205,56.305,2232,20220518
56.33,56.35,56.321,56.34,1159,20220518
56.32,56.37,56.32,56.36,700,20220518
56.36,56.38,56.355,56.38,935,20220518
56.355,56.37,56.34,56.34,3096,20220518
56.34,56.35,56.34,56.35,1256,20220518
56.34,56.35,56.31,56.32,1285,20220518
56.315,56.38,56.315,56.38,388,20220518
56.38,56.39,56.361,56.39,1205,20220518
56.38,56.42,56.375,56.4,1000,20220518
56.41,56.41,56.37,56.38,1401,20220518
56.37,56.405,56.3474,56.39,1500,20220518
56.36,56.43,56.35,56.43,1174,20220519
56.41,56.42,56.38,56.42,3760,20220519
56.41,56.42,56.355,56.37,1200,20220519
56.38,56.39,56.375,56.39,2237,20220519
56.37,56.39,56.36,56.39,2092,20220519
56.4,56.435,56.39,56.39,1485,20220519
56.34,56.36,56.34,56.355,501,20220519
56.37,56.405,56.37,56.39,2640,20220519
56.38,56.38,56.31,56.32,1401,20220519
56.29,56.29,56.264,56.285,600,20220519
56.28,56.335,56.261,56.33,2437,20220519
56.32,56.36,56.32,56.36,939,20220519
56.34,56.34,56.2762,56.33,2039,20220519
56.32,56.33,56.27,56.28,2526,20220519
56.28,56.3,56.255,56.27,1623,20220519
56.29,56.33,56.28,56.32,814,20220519
56.31,56.36,56.3,56.34,1963,20220519
56.35,56.37,56.325,56.325,1300,20220519
56.31,56.33,56.3,56.33,2130,20220519
56.29,56.33,56.27,56.33,1912,20220519
56.35,56.37,56.33,56.37,1705,20220519
56.351,56.41,56.35,56.41,4863,20220519
56.4,56.4,56.315,56.35,3152,20220519
56.33,56.35,56.3,56.32,1668,20220519
56.31,56.31,56.255,56.255,903,20220519
56.25,56.25,56.23,56.24,1300,20220519
56.24,56.24,56.21,56.21,2104,20220519
56.23,56.23,56.19,56.23,2878,20220519
56.2,56.21,56.15,56.18,2728,20220519
56.2,56.2,56.14,56.16,1796,20220519
56.155,56.16,56.09,56.09,9995,20220519
56.1,56.1,56.0666,56.08,1135,20220519
56.09,56.115,56.07,56.105,4694,20220519
56.1,56.135,56.08,56.13,5083,20220519
56.14,56.15,56.1,56.1,2165,20220519
56.091,56.14,56.05,56.14,3333,20220519
56.15,56.215,56.15,56.215,1965,20220519
56.21,56.3,56.21,56.3,2410,20220519
56.32,56.34,56.28,56.34,3421,20220519
56.35,56.39,56.35,56.35,2000,20220519
56.33,56.41,56.33,56.4,4109,20220519
56.395,56.43,56.37,56.41,3100,20220519
56.41,56.41,56.36,56.3625,3116,20220519
56.365,56.365,56.27,56.29,6897,20220519
56.275,56.31,56.26,56.27,2986,20220519
56.25,56.31,56.23,56.23,5343,20220519
56.215,56.215,56.17,56.17,4671,20220519
56.18,56.235,56.16,56.205,5724,20220519
56.18,56.18,56.06,56.095,3844,20220519
56.1,56.17,56.03,56.15,5640,20220519
56.12,56.27,56.1,56.255,13806,20220519
56.24,56.245,56.21,56.245,8094,20220519
56.23,56.25,56.19,56.24,10049,20220519
56.225,56.25,56.2,56.21,9803,20220519
56.22,56.23,56.185,56.22,9571,20220519
56.215,56.28,56.2,56.24,27603,20220519
56.235,56.27,56.205,56.24,23445,20220519
56.24,56.33,56.23,56.28,21075,20220519
56.275,56.33,56.265,56.32,21609,20220519
56.31,56.36,56.24,56.36,37030,20220519
55.85,56.02,55.49,55.91,15496,20220519
56.025,56.43,56.025,56.33,4223,20220519
56.32,56.51,56.32,56.51,1745,20220519
56.43,56.68,56.43,56.68,5118,20220519
56.7,56.74,56.6318,56.7,3965,20220519
56.69,56.73,56.65,56.73,1019,20220519
56.705,56.78,56.66,56.78,569,20220519
56.74,56.74,56.65,56.71,2332,20220519
56.67,56.67,56.6,56.6,237,20220519
56.6,56.7,56.58,56.7,800,20220519
56.72,56.75,56.68,56.75,400,20220519
56.68,56.68,56.65,56.65,300,20220519
56.67,56.705,56.635,56.67,1604,20220519
56.64,56.64,56.615,56.615,406,20220519
56.62,56.64,56.61,56.61,2885,20220519
56.52,56.53,56.47,56.4801,2980,20220519
56.46,56.46,56.46,56.46,426,20220519
56.44,56.46,56.34,56.34,3513,20220519
56.35,56.4103,56.35,56.36,1985,20220519
56.33,56.33,56.28,56.28,400,20220519
56.26,56.26,56.21,56.21,400,20220519
56.22,56.35,56.22,56.35,2327,20220519
56.35,56.35,56.28,56.3,1548,20220519
56.22,56.26,56.22,56.225,1175,20220519
56.28,56.28,56.25,56.28,400,20220519
56.3,56.32,56.25,56.25,2044,20220519
56.26,56.27,56.22,56.24,1279,20220519
56.27,56.32,56.26,56.26,2227,20220519
56.24,56.24,56.075,56.09,1806,20220519
56.025,56.11,56.025,56.11,500,20220519
56.05,56.18,55.99,56.18,1721,20220519
56.19,56.28,56.19,56.27,1700,20220519
56.37,56.38,56.36,56.36,1399,20220519
56.32,56.37,56.31,56.34,2624,20220519
56.29,56.3,56.23,56.23,553,20220519
56.17,56.23,56.144,56.165,2003,20220519
56.2,56.29,56.2,56.275,3657,20220519
56.3,56.32,56.265,56.28,5912,20220519
56.33,56.37,56.33,56.37,424,20220519
56.43,56.43,56.32,56.35,1536,20220519
56.32,56.36,56.3,56.33,1353,20220519
56.35,56.37,56.33,56.33,1661,20220519
56.4,56.41,56.36,56.41,2082,20220519
56.42,56.42,56.34,56.36,1590,20220519
56.33,56.39,56.31,56.39,2359,20220519
56.41,56.48,56.41,56.48,1485,20220519
56.52,56.57,56.51,56.57,680,20220519
56.535,56.56,56.51,56.56,760,20220519
56.53,56.58,56.51,56.58,2204,20220519
56.6,56.61,56.59,56.61,513,20220519
56.64,56.73,56.64,56.73,800,20220519
56.76,56.81,56.76,56.78,1589,20220519
56.76,56.77,56.67,56.67,1730,20220519
56.71,56.76,56.7,56.76,1400,20220519
56.75,56.76,56.685,56.685,485,20220519
56.57,56.57,56.57,56.57,100,20220519
56.54,56.59,56.52,56.52,2984,20220519
56.5,56.5,56.46,56.49,2020,20220519
56.49,56.49,56.405,56.405,700,20220519
56.38,56.41,56.37,56.37,1350,20220519
56.37,56.39,56.305,56.31,2670,20220519
56.305,56.32,56.23,56.27,5056,20220519
56.28,56.35,56.26,56.31,2099,20220519
56.27,56.35,56.27,56.3,1524,20220519
56.35,56.37,56.3,56.37,1675,20220519
56.41,56.42,56.38,56.38,1185,20220519
56.39,56.39,56.27,56.27,2167,20220519
56.27,56.28,56.24,56.28,1500,20220519
56.27,56.27,56.2,56.24,2181,20220519
56.24,56.32,56.24,56.3,1696,20220519
56.28,56.28,56.11,56.11,2297,20220519
56.11,56.11,56.05,56.05,600,20220519
56.07,56.1,56.055,56.1,1645,20220519
56.1,56.21,56.085,56.13,11471,20220519
56.165,56.165,56.12,56.16,2700,20220519
