open,high,low,close,volume,datetime
88.9,88.9,88.45,88.51,6897,20220518
88.48,88.51,88.47,88.47,401,20220518
88.52,88.52,88.52,88.52,100,20220518
88.47,88.47,88.46,88.47,300,20220518
88.71,88.71,88.71,88.71,100,20220518
88.82,88.82,88.82,88.82,100,20220518
88.72,88.72,88.4625,88.4625,500,20220518
88.32,88.475,88.32,88.385,500,20220518
88.44,88.63,88.38,88.63,970,20220518
88.71,88.78,88.6525,88.78,1000,20220518
88.815,88.815,88.815,88.815,100,20220518
88.97,88.97,88.97,88.97,202,20220518
88.945,88.945,88.79,88.93,400,20220518
89.04,89.145,89.04,89.145,200,20220518
89.15,89.15,88.97,88.99,1600,20220518
89.15,89.15,89.15,89.15,426,20220518
89.08,89.18,88.97,88.98,1257,20220518
89.14,89.175,89.0,89.15,1500,20220518
89.15,89.15,89.15,89.15,100,20220518
89.26,89.26,89.26,89.26,100,20220518
89.14,89.14,89.14,89.14,100,20220518
89.02,89.04,88.92,89.04,1179,20220518
89.02,89.13,88.94,89.08,700,20220518
89.13,89.13,89.05,89.05,300,20220518
89.2,89.2,89.17,89.17,222,20220518
89.14,89.14,89.14,89.14,100,20220518
89.17,89.19,89.15,89.19,451,20220518
89.08,89.08,89.08,89.08,300,20220518
89.08,89.11,89.06,89.06,300,20220518
89.14,89.21,89.135,89.21,530,20220518
89.125,89.125,89.125,89.125,100,20220518
89.1514,89.25,89.15,89.25,1675,20220518
89.2,89.2,89.2,89.2,2400,20220518
89.15,89.15,88.975,89.11,1920,20220518
89.13,89.13,89.13,89.13,300,20220518
89.1,89.1,89.08,89.08,200,20220518
89.1,89.1,89.1,89.1,469,20220518
89.06,89.06,89.06,89.06,100,20220518
89.14,89.14,89.14,89.14,101,20220518
89.21,89.21,89.2,89.2,500,20220518
89.255,89.255,89.14,89.24,400,20220518
89.175,89.175,89.175,89.175,100,20220518
89.12,89.145,89.12,89.145,200,20220518
89.175,89.175,89.175,89.175,281,20220518
89.22,89.22,89.22,89.22,200,20220518
89.25,89.25,89.09,89.14,600,20220518
89.04,89.1,89.04,89.1,300,20220518
89.03,89.03,89.03,89.03,100,20220518
89.035,89.035,88.975,88.975,300,20220518
88.89,88.89,88.87,88.87,1095,20220518
88.835,88.85,88.835,88.85,218,20220518
88.72,88.72,88.58,88.585,1000,20220518
88.64,88.65,88.585,88.645,605,20220518
88.645,88.645,88.645,88.645,128,20220518
88.645,88.72,88.59,88.675,1700,20220518
88.655,88.655,88.525,88.595,300,20220518
88.58,88.58,88.58,88.58,100,20220518
88.52,88.52,88.52,88.52,200,20220518
88.57,88.58,88.57,88.58,500,20220518
88.555,88.555,88.555,88.555,125,20220518
88.59,88.59,88.59,88.59,100,20220518
88.6,88.616,88.58,88.616,740,20220518
88.59,88.59,88.5,88.5,592,20220518
88.52,88.595,88.52,88.595,1300,20220518
88.65,88.73,88.61,88.72,1000,20220518
88.67,88.725,88.66,88.725,584,20220518
