open,high,low,close,volume,datetime
44.18,44.23,43.95,43.9525,183874,20220518
43.95,43.96,43.72,43.7396,43861,20220518
43.71,43.71,43.32,43.335,53277,20220518
43.31,43.53,43.22,43.3,94384,20220518
43.27,43.46,43.11,43.42,157116,20220518
43.41,43.44,43.325,43.44,88573,20220518
43.42,43.5,43.28,43.5,36544,20220518
43.519,43.56,43.46,43.51,68502,20220518
43.465,43.52,43.39,43.41,24264,20220518
43.42,43.43,43.27,43.29,69384,20220518
43.3,43.32,43.2,43.23,21940,20220518
43.23,43.25,43.04,43.04,50964,20220518
43.0351,43.12,43.0,43.04,59421,20220518
43.04,43.11,43.03,43.059,16458,20220518
43.06,43.08,42.96,42.97,39077,20220518
42.96,43.03,42.87,42.875,49194,20220518
42.8717,42.945,42.85,42.8599,33938,20220518
42.8501,42.91,42.8,42.805,43418,20220518
42.8,42.8099,42.71,42.735,54414,20220518
42.72,42.7875,42.715,42.78,45567,20220518
42.785,42.81,42.69,42.715,65465,20220518
42.715,42.72,42.665,42.67,36992,20220518
42.665,42.67,42.57,42.575,45315,20220518
42.575,42.61,42.53,42.555,45497,20220518
42.545,42.567,42.49,42.567,59143,20220518
42.57,42.8,42.55,42.8,114745,20220518
42.79,42.85,42.7,42.72,59909,20220518
42.7,42.7,42.635,42.66,36738,20220518
42.66,42.68,42.58,42.64,20225,20220518
42.63,42.65,42.55,42.65,17917,20220518
42.65,42.65,42.5,42.57,39097,20220518
42.56,42.58,42.51,42.555,43683,20220518
42.551,42.58,42.49,42.52,61031,20220518
42.51,42.51,42.3811,42.425,72735,20220518
42.42,42.43,42.38,42.4142,17994,20220518
42.41,42.44,42.35,42.36,30256,20220518
42.3616,42.415,42.34,42.36,46387,20220518
42.35,42.4,42.3,42.32,43973,20220518
42.31,42.31,42.235,42.25,41000,20220518
42.25,42.3,42.21,42.285,35304,20220518
42.2999,42.3181,42.24,42.3156,41385,20220518
42.31,42.38,42.285,42.3767,15347,20220518
42.37,42.37,42.3,42.3,14618,20220518
42.295,42.315,42.265,42.285,34633,20220518
42.28,42.39,42.26,42.39,32549,20220518
42.39,42.425,42.33,42.41,19613,20220518
42.408,42.4752,42.38,42.4752,43879,20220518
42.47,42.5098,42.44,42.505,22095,20220518
42.505,42.505,42.42,42.44,29195,20220518
42.44,42.47,42.4,42.4,35363,20220518
42.39,42.425,42.385,42.39,22349,20220518
42.3978,42.4,42.37,42.375,22703,20220518
42.375,42.42,42.29,42.29,29892,20220518
42.28,42.28,42.22,42.22,26273,20220518
42.21,42.28,42.21,42.255,18865,20220518
42.2569,42.26,42.215,42.23,17803,20220518
42.22,42.245,42.2,42.21,28490,20220518
42.21,42.255,42.205,42.25,25487,20220518
42.245,42.25,42.19,42.195,27290,20220518
42.195,42.195,42.14,42.195,26687,20220518
42.195,42.29,42.17,42.27,34418,20220518
42.26,42.3007,42.25,42.3,39243,20220518
42.31,42.365,42.305,42.335,38688,20220518
