open,high,low,close,volume,datetime
103.92,104.06,103.81,103.81,18392,20220518
103.7,103.84,103.7,103.795,1000,20220518
103.725,103.725,103.29,103.43,3006,20220518
103.455,103.505,103.4,103.4,1051,20220518
103.4,103.62,103.36,103.51,2622,20220518
103.57,103.615,103.42,103.42,800,20220518
103.34,103.34,103.18,103.235,6391,20220518
103.27,103.29,103.02,103.07,4677,20220518
103.03,103.03,102.9,102.9,1100,20220518
102.92,103.0,102.76,102.8,2759,20220518
102.85,102.86,102.7,102.86,2403,20220518
102.8,102.9399,102.78,102.78,1218,20220518
102.71,102.91,102.71,102.91,1592,20220518
102.915,102.95,102.71,102.76,2837,20220518
102.75,102.915,102.72,102.86,1945,20220518
102.86,102.955,102.81,102.89,2200,20220518
102.87,102.87,102.82,102.87,1000,20220518
102.94,103.02,102.94,102.97,2585,20220518
102.92,103.02,102.92,103.02,1668,20220518
102.99,103.05,102.95,103.05,1850,20220518
103.14,103.18,103.04,103.04,1301,20220518
103.02,103.02,102.81,102.81,3577,20220518
102.76,102.7886,102.69,102.73,1542,20220518
102.72,102.72,102.58,102.655,2286,20220518
102.62,102.79,102.62,102.74,6883,20220518
102.73,102.73,102.66,102.66,542,20220518
102.71,102.71,102.645,102.69,3847,20220518
102.67,102.7,102.61,102.645,1099,20220518
102.61,102.63,102.525,102.525,1731,20220518
102.51,102.58,102.47,102.58,21900,20220518
102.57,102.57,102.43,102.5,4795,20220518
102.47,102.47,102.31,102.32,3506,20220518
102.3,102.3,102.245,102.26,1505,20220518
102.29,102.43,102.28,102.43,1017,20220518
102.41,102.48,102.38,102.395,4661,20220518
102.42,102.45,102.3,102.3,2440,20220518
102.37,102.38,102.27,102.27,1247,20220518
102.18,102.3,102.18,102.29,1400,20220518
102.28,102.3,102.23,102.29,2185,20220518
102.29,102.42,102.28,102.39,2847,20220518
102.36,102.46,102.36,102.435,1203,20220518
102.405,102.57,102.405,102.57,1790,20220518
102.5638,102.66,102.55,102.638,2489,20220518
102.62,102.71,102.58,102.69,1587,20220518
102.76,102.825,102.76,102.825,1904,20220518
102.84,102.87,102.725,102.81,3458,20220518
102.75,102.75,102.66,102.72,1103,20220518
102.69,102.74,102.685,102.73,1781,20220518
102.73,102.83,102.73,102.795,5607,20220518
102.81,103.01,102.81,102.96,4007,20220518
102.95,102.99,102.92,102.94,2608,20220518
103.04,103.04,102.93,102.93,1920,20220518
102.925,102.925,102.81,102.9,2067,20220518
102.91,102.91,102.82,102.88,4265,20220518
102.92,103.0,102.92,103.0,883,20220518
103.04,103.05,102.99,103.05,2315,20220518
103.04,103.09,102.99,103.09,1900,20220518
103.11,103.135,103.09,103.11,3496,20220518
103.105,103.19,103.03,103.03,2741,20220518
103.04,103.11,103.03,103.06,3162,20220518
103.1,103.17,103.088,103.16,2918,20220518
103.15,103.15,103.14,103.14,801,20220518
103.15,103.18,103.1,103.12,1247,20220518
103.18,103.22,103.15,103.22,2121,20220518
103.24,103.31,103.23,103.28,2888,20220518
103.32,103.41,103.31,103.31,4255,20220518
103.3,103.37,103.3,103.365,2600,20220518
103.315,103.37,103.284,103.365,1425,20220518
103.39,103.5,103.39,103.44,5581,20220518
103.44,103.455,103.34,103.405,2050,20220518
103.4,103.4,103.3,103.38,2354,20220518
103.3,103.34,103.3,103.33,1333,20220518
103.31,103.32,103.2,103.2,1015,20220518
103.24,103.24,103.175,103.175,1284,20220518
103.18,103.2325,103.14,103.15,935,20220518
103.13,103.205,103.115,103.19,1658,20220518
