open,high,low,close,volume,datetime
179.05,179.05,179.05,179.05,100,20220518
178.94,178.95,178.87,178.95,400,20220518
177.34,180.19,175.56,176.92,47228,20220518
177.0,178.56,176.23,178.56,8850,20220518
178.21,178.3294,176.0,176.62,6679,20220518
176.68,177.74,176.56,177.59,7084,20220518
177.585,178.455,177.38,178.19,15136,20220518
178.19,178.595,176.29,177.005,9565,20220518
176.86,177.37,175.82,175.86,5931,20220518
176.435,176.5,175.76,176.375,3059,20220518
176.2643,176.48,175.37,176.48,4293,20220518
176.5,176.6,176.17,176.2276,3302,20220518
176.63,176.63,176.265,176.49,600,20220518
176.01,176.01,175.2,175.98,2118,20220518
176.1,176.18,175.78,176.17,3747,20220518
176.195,176.46,175.9,175.92,2400,20220518
176.17,176.17,175.73,176.17,3589,20220518
176.17,176.43,175.92,176.26,2600,20220518
176.32,176.32,175.05,175.23,8365,20220518
175.23,175.94,175.1,175.94,2640,20220518
175.94,176.19,175.795,175.83,2800,20220518
176.01,176.74,175.99,176.74,6700,20220518
176.73,176.73,175.86,176.21,3500,20220518
176.19,176.25,176.0,176.175,3980,20220518
176.38,176.72,176.21,176.72,3202,20220518
176.72,177.17,176.72,176.895,3855,20220518
176.895,176.895,176.44,176.44,1540,20220518
176.4,176.55,176.07,176.405,3545,20220518
176.385,177.02,176.3,177.02,5600,20220518
176.905,177.4,176.6,176.705,3411,20220518
176.965,176.965,176.47,176.855,1680,20220518
176.89,177.5,176.89,177.5,2300,20220518
177.5,177.98,177.18,177.98,11424,20220518
177.76,178.64,177.76,178.11,11837,20220518
178.495,178.83,178.12,178.71,21544,20220518
178.6,179.4,178.4,178.41,19099,20220518
178.655,178.87,178.4,178.4494,3361,20220518
178.585,179.04,178.5,178.59,10628,20220518
178.48,178.69,178.36,178.565,4589,20220518
178.45,179.1,178.06,179.1,29950,20220518
178.82,179.37,178.82,179.37,2827,20220518
179.18,179.29,178.97,179.29,1521,20220518
179.145,179.145,178.64,178.84,1250,20220518
178.665,178.82,178.2422,178.7,3269,20220518
178.48,178.74,178.295,178.74,4486,20220518
178.98,179.0,178.6601,179.0,540,20220518
179.01,179.17,178.88,178.94,1000,20220518
179.17,179.26,178.99,178.99,3219,20220518
178.99,178.99,178.67,178.97,1158,20220518
178.805,179.14,178.51,179.06,4317,20220518
179.12,179.38,179.09,179.23,1400,20220518
179.377,179.38,178.95,178.97,3315,20220518
179.015,179.015,178.5,178.5,3100,20220518
178.505,178.63,178.02,178.21,24885,20220518
178.17,178.5,177.74,177.74,4050,20220518
177.81,177.81,177.81,177.81,100,20220518
177.63,177.865,177.5,177.5,701,20220518
177.435,177.5,177.43,177.5,513,20220518
177.5,177.5,177.0,177.0,1924,20220518
176.855,176.855,176.35,176.5,2423,20220518
176.47,176.57,176.43,176.54,1000,20220518
176.63,176.81,176.37,176.6,3481,20220518
176.68,176.68,176.68,176.68,100,20220518
176.88,176.88,176.36,176.725,4133,20220518
176.59,176.59,176.31,176.31,872,20220518
176.49,176.49,176.01,176.05,4402,20220518
176.28,176.5,176.26,176.47,1825,20220518
176.52,176.54,176.42,176.54,1632,20220518
176.1356,176.2,175.9,175.9,2890,20220518
175.9001,176.02,175.9001,176.02,400,20220518
176.21,176.29,175.96,175.96,1801,20220518
176.07,176.32,176.045,176.11,1755,20220518
176.01,176.05,175.76,175.8,908,20220518
175.78,175.9,175.78,175.82,997,20220518
175.69,175.94,175.67,175.87,1205,20220518
175.85,175.85,175.78,175.78,200,20220518
175.8,176.16,175.725,175.94,6541,20220518
175.85,175.85,175.74,175.755,500,20220518
175.89,176.105,175.89,176.0499,4600,20220518
175.9227,175.9227,175.745,175.745,400,20220518
175.74,175.83,175.67,175.83,400,20220518
175.595,175.69,175.58,175.652,991,20220518
175.715,175.715,175.31,175.43,5508,20220518
175.485,175.535,175.4225,175.47,1900,20220518
175.49,175.49,175.34,175.34,1000,20220518
175.3216,175.45,175.25,175.3406,4156,20220518
175.3428,175.3428,175.02,175.05,4164,20220518
175.05,175.11,174.87,175.01,3890,20220518
175.02,175.38,175.02,175.23,4100,20220518
175.17,175.3,175.15,175.27,1991,20220518
175.305,175.305,175.13,175.13,1200,20220518
175.2199,175.2199,174.7485,174.7485,2406,20220518
174.7,174.75,174.63,174.64,550,20220518
174.51,174.51,174.12,174.19,5424,20220518
174.2,174.31,174.165,174.31,700,20220518
174.3,174.315,174.29,174.29,1300,20220518
174.41,174.445,174.1,174.1,1200,20220518
174.2,174.2,173.75,173.76,3222,20220518
173.67,173.86,173.61,173.835,2422,20220518
173.63,173.63,173.63,173.63,200,20220518
173.685,173.685,173.485,173.485,900,20220518
173.64,173.7,173.64,173.7,345,20220518
173.665,173.69,173.665,173.69,414,20220518
173.69,173.69,173.64,173.69,600,20220518
173.69,173.69,173.49,173.515,11999,20220518
173.62,173.63,173.515,173.515,2014,20220518
173.515,173.515,173.02,173.05,7339,20220518
173.05,173.08,172.76,172.76,5390,20220518
172.9126,172.9126,172.65,172.72,2216,20220518
172.75,172.82,172.725,172.725,300,20220518
172.64,172.65,172.53,172.53,5558,20220518
172.57,172.57,172.33,172.33,859,20220518
172.43,172.43,172.25,172.27,1157,20220518
172.3,172.31,172.2,172.2,700,20220518
172.13,172.23,172.03,172.055,2617,20220518
172.0,172.11,171.9,172.035,1873,20220518
171.9,171.91,171.82,171.82,1700,20220518
171.6,171.6,171.34,171.34,1500,20220518
171.47,171.59,171.27,171.59,4614,20220518
171.425,171.425,171.28,171.28,800,20220518
171.355,171.42,171.04,171.04,2102,20220518
171.1841,171.55,171.1841,171.38,3013,20220518
171.61,171.67,171.41,171.65,1800,20220518
171.645,171.985,171.54,171.98,1327,20220518
172.01,172.02,171.9,171.985,818,20220518
172.05,172.25,171.78,171.985,2953,20220518
171.77,171.97,171.705,171.93,2764,20220518
172.07,172.1867,171.97,172.15,2916,20220518
172.175,172.27,171.82,171.9,2877,20220518
171.865,171.9,171.57,171.57,1450,20220518
171.44,171.63,171.26,171.43,1905,20220518
171.43,171.735,171.43,171.735,1000,20220518
171.73,171.93,171.73,171.815,5636,20220518
171.99,172.01,171.78,171.9,1284,20220518
171.9,172.02,171.9,172.0,1054,20220518
171.95,172.08,171.945,171.95,3700,20220518
171.97,173.31,171.97,172.95,16557,20220518
172.9809,172.9809,172.66,172.84,3758,20220518
172.8,173.0,172.8,172.87,900,20220518
173.0,173.01,172.785,172.785,1137,20220518
172.95,173.07,172.95,172.95,600,20220518
172.965,173.195,172.965,173.1,2612,20220518
173.0,173.14,172.8,172.95,1900,20220518
172.93,173.0,172.71,172.9,4800,20220518
172.945,172.95,172.75,172.87,1304,20220518
172.77,172.95,172.77,172.875,1023,20220518
172.91,173.01,172.9,172.97,1500,20220518
173.04,173.1,173.02,173.03,802,20220518
173.11,173.11,172.92,172.9725,1859,20220518
172.96,172.99,172.8,172.87,2023,20220518
172.8,173.03,172.8,172.97,1600,20220518
172.97,173.01,172.73,173.01,800,20220518
172.8,173.01,172.6566,172.83,1224,20220518
172.88,173.01,172.88,172.905,1465,20220518
172.905,172.95,172.79,172.945,1300,20220518
172.9,173.02,172.9,172.9654,888,20220518
172.995,173.03,172.76,172.99,1494,20220518
172.905,172.905,172.78,172.79,700,20220518
172.905,172.98,172.905,172.98,475,20220518
172.83,173.05,172.63,172.86,5140,20220518
173.015,173.055,172.93,173.035,900,20220518
173.07,173.07,172.985,172.985,400,20220518
172.9,173.07,172.9,173.07,1500,20220518
172.97,173.045,172.92,173.0,2868,20220518
173.025,173.25,172.95,173.2,2131,20220518
173.47,173.52,173.3092,173.52,1003,20220518
173.4,173.65,173.37,173.52,1633,20220518
173.64,173.84,173.64,173.64,381,20220518
173.81,173.81,173.725,173.7533,400,20220518
173.6,173.6,173.6,173.6,100,20220518
173.32,173.32,173.32,173.32,100,20220518
173.17,173.185,172.8575,172.97,4293,20220518
172.97,173.0982,172.97,173.0,900,20220518
172.95,173.12,172.935,172.97,4416,20220518
173.0,173.0,172.83,172.985,1632,20220518
172.97,173.11,172.9,173.04,3099,20220518
173.02,173.02,172.945,172.985,1200,20220518
172.945,173.0,172.61,172.61,1400,20220518
172.69,172.73,172.6,172.6,1396,20220518
172.5,172.5,172.5,172.5,207,20220518
172.38,172.5,172.38,172.5,300,20220518
172.34,172.34,172.05,172.05,304,20220518
171.985,172.31,171.8725,172.31,3641,20220518
172.3,172.3,172.3,172.3,100,20220518
172.44,172.6221,172.43,172.43,1227,20220518
172.535,172.535,172.0,172.0,1424,20220518
172.07,172.07,171.9,171.96,1610,20220518
172.03,172.04,171.97,171.97,600,20220518
172.19,172.2,172.19,172.2,386,20220518
172.09,172.22,172.09,172.18,400,20220518
172.02,172.17,171.96,172.17,1925,20220518
172.23,172.475,172.23,172.475,900,20220518
172.335,172.3552,172.285,172.285,2200,20220518
172.3999,172.3999,172.235,172.235,400,20220518
172.26,172.66,172.26,172.66,817,20220518
172.57,172.79,172.57,172.79,918,20220518
172.71,172.71,172.58,172.6002,777,20220518
172.86,172.86,172.86,172.86,115,20220518
172.96,172.98,172.845,172.845,650,20220518
172.97,172.97,172.97,172.97,200,20220518
172.9,172.93,172.9,172.92,700,20220518
172.88,172.97,172.88,172.97,200,20220518
172.8564,172.93,172.855,172.89,1262,20220518
172.99,173.07,172.99,173.07,900,20220518
173.29,173.29,172.965,172.965,1301,20220518
172.95,172.95,172.95,172.95,100,20220518
173.015,173.17,173.015,173.115,700,20220518
173.0,173.0,173.0,173.0,150,20220518
173.085,173.085,172.85,172.85,1559,20220518
172.9125,172.9125,172.6,172.7119,3788,20220518
172.69,172.69,172.69,172.69,100,20220518
172.58,172.5844,172.58,172.5844,300,20220518
172.6044,172.84,172.575,172.8,1275,20220518
