open,high,low,close,volume,datetime
157.0,157.0,156.41,156.78,67345,20220518
156.89,156.89,156.79,156.79,226,20220518
156.79,156.82,156.74,156.81,902,20220518
156.87,157.18,156.73,157.07,1058,20220518
157.2,157.29,157.13,157.29,2757,20220518
157.26,157.42,157.26,157.26,1650,20220518
157.335,157.38,157.18,157.215,900,20220518
157.42,157.43,157.2,157.25,1800,20220518
157.3,157.3,157.12,157.12,1219,20220518
157.04,157.19,157.03,157.08,3654,20220518
157.14,157.18,156.95,156.95,2079,20220518
156.9899,157.09,156.85,156.85,2412,20220518
156.86,156.995,156.86,156.88,5852,20220518
157.04,157.04,156.9,156.9,900,20220518
156.79,156.925,156.79,156.87,800,20220518
156.99,157.17,156.94,157.05,4848,20220518
156.99,157.0,156.8761,156.95,1279,20220518
156.89,157.0,156.8,156.8,3084,20220518
156.8,156.82,156.75,156.82,850,20220518
156.75,156.92,156.75,156.84,4126,20220518
156.89,157.13,156.89,157.06,607,20220518
157.16,157.17,157.02,157.02,1637,20220518
156.95,156.95,156.69,156.69,2269,20220518
156.68,156.69,156.5,156.61,1281,20220518
156.615,156.615,156.51,156.56,1139,20220518
156.58,156.62,156.46,156.46,1364,20220518
156.53,156.53,156.46,156.46,1024,20220518
156.44,156.6,156.44,156.52,1448,20220518
156.51,156.53,156.46,156.505,782,20220518
156.45,156.52,156.25,156.42,3920,20220518
156.53,156.53,156.21,156.36,1496,20220518
156.23,156.23,156.05,156.09,2029,20220518
156.14,156.27,156.12,156.15,803,20220518
156.2,156.26,156.05,156.26,1325,20220518
156.29,156.38,156.29,156.29,963,20220518
156.22,156.25,156.08,156.11,1240,20220518
156.15,156.16,156.14,156.16,300,20220518
156.16,156.18,156.01,156.11,1091,20220518
156.11,156.13,156.02,156.02,1145,20220518
156.1,156.11,156.03,156.08,804,20220518
156.08,156.16,156.05,156.05,1624,20220518
156.06,156.06,155.99,155.99,2362,20220518
156.0,156.0,155.92,155.92,303,20220518
155.97,156.07,155.97,156.03,1301,20220518
156.05,156.2,156.05,156.2,801,20220518
156.2,156.21,155.98,156.1,21653,20220518
156.1,156.1,156.03,156.03,733,20220518
156.01,156.01,155.95,155.965,1464,20220518
156.0,156.02,155.88,155.88,1339,20220518
155.88,156.1,155.86,155.995,1500,20220518
155.99,156.055,155.99,156.055,638,20220518
156.1,156.1,156.05,156.05,500,20220518
156.015,156.09,156.0,156.0,1968,20220518
155.98,155.98,155.82,155.82,1881,20220518
155.78,155.87,155.78,155.87,1245,20220518
155.9,155.9,155.9,155.9,501,20220518
155.89,155.98,155.875,155.98,828,20220518
155.98,156.03,155.92,155.92,1163,20220518
155.89,155.89,155.745,155.81,8358,20220518
155.81,155.9,155.81,155.81,1089,20220518
155.77,155.88,155.76,155.84,619,20220518
155.77,155.83,155.7475,155.7475,1743,20220518
155.6,155.61,155.59,155.59,1175,20220518
155.57,155.57,155.46,155.46,1356,20220518
155.55,155.56,155.47,155.47,666,20220518
155.53,155.53,155.49,155.5,755,20220518
155.48,155.5,155.46,155.5,1397,20220518
155.48,155.49,155.48,155.48,300,20220518
155.53,155.61,155.53,155.59,1229,20220518
155.61,155.61,155.53,155.53,1042,20220518
155.55,155.56,155.47,155.55,1070,20220518
155.51,155.51,155.51,155.51,100,20220518
155.51,155.52,155.41,155.43,950,20220518
155.41,155.41,155.36,155.36,421,20220518
155.33,155.34,155.29,155.29,981,20220518
155.23,155.29,155.23,155.29,1298,20220518
155.25,155.25,155.2,155.2,1395,20220518
155.2,155.2,155.13,155.13,604,20220518
155.1,155.1649,155.07,155.07,985,20220518
155.06,155.0888,154.995,154.995,1402,20220518
154.95,154.95,154.82,154.82,950,20220518
154.84,154.86,154.84,154.85,404,20220518
154.85,154.91,154.85,154.905,1638,20220518
154.92,154.94,154.895,154.895,737,20220518
154.89,154.89,154.82,154.82,1007,20220518
154.865,154.91,154.865,154.87,1387,20220518
154.875,154.98,154.875,154.98,1289,20220518
155.01,155.02,155.01,155.01,500,20220518
155.01,155.12,155.01,155.1,1199,20220518
155.04,155.07,155.02,155.065,1300,20220518
155.01,155.05,155.0,155.01,1231,20220518
155.03,155.12,155.03,155.11,1481,20220518
155.11,155.2,155.09,155.09,1001,20220518
155.09,155.09,155.07,155.09,600,20220518
155.09,155.09,155.06,155.06,512,20220518
155.16,155.19,155.15,155.165,1029,20220518
155.16,155.19,155.05,155.05,682,20220518
155.07,155.18,155.07,155.18,1177,20220518
155.19,155.28,155.19,155.28,1248,20220518
155.3,155.41,155.3,155.37,2180,20220518
155.31,155.355,155.31,155.33,3293,20220518
155.34,155.5,155.34,155.5,773,20220518
155.5,155.51,155.49,155.51,1176,20220518
155.485,155.51,155.485,155.51,516,20220518
155.47,155.47,155.44,155.4499,600,20220518
155.44,155.44,155.4008,155.4008,375,20220518
155.4,155.48,155.38,155.38,1253,20220518
155.44,155.46,155.405,155.46,601,20220518
155.46,155.47,155.46,155.47,597,20220518
155.47,155.66,155.47,155.66,2197,20220518
155.66,155.69,155.61,155.64,1227,20220518
155.6,155.65,155.57,155.64,1894,20220518
155.645,155.645,155.59,155.61,1453,20220518
155.49,155.57,155.49,155.57,561,20220518
155.54,155.54,155.35,155.35,820,20220518
155.35,155.42,155.35,155.42,240,20220518
155.395,155.425,155.395,155.425,200,20220518
155.42,155.42,155.34,155.36,963,20220518
155.37,155.43,155.37,155.43,1208,20220518
