open,high,low,close,volume,datetime
68.79,68.79,68.79,68.79,5573,20220518
68.95,68.95,68.86,68.86,571,20220518
68.77,68.77,68.61,68.61,327,20220518
68.76,68.77,68.76,68.77,200,20220518
68.75,68.78,68.7,68.78,1626,20220518
68.775,68.9,68.75,68.9,3066,20220518
68.89,68.94,68.79,68.929,1303,20220518
68.93,68.97,68.77,68.81,1342,20220518
68.8,68.8,68.7,68.7,437,20220518
68.67,68.67,68.6,68.6,434,20220518
68.59,68.62,68.57,68.57,1563,20220518
68.53,68.53,68.53,68.53,139,20220518
68.52,68.53,68.44,68.508,3933,20220518
68.48,68.53,68.46,68.53,3112,20220518
68.48,68.53,68.48,68.53,412,20220518
68.53,68.54,68.47,68.54,1283,20220518
68.55,68.62,68.55,68.6,1302,20220518
68.6,68.615,68.53,68.6,983,20220518
68.62,68.69,68.62,68.69,344,20220518
68.66,68.7,68.64,68.69,4209,20220518
68.64,68.64,68.57,68.57,313,20220518
68.47,68.515,68.47,68.48,800,20220518
68.32,68.34,68.29,68.34,423,20220518
68.385,68.385,68.385,68.385,100,20220518
68.37,68.45,68.37,68.45,200,20220518
68.496,68.496,68.42,68.42,541,20220518
68.4,68.405,68.36,68.405,618,20220518
68.41,68.425,68.39,68.39,903,20220518
68.37,68.395,68.36,68.395,319,20220518
68.36,68.4,68.36,68.4,1067,20220518
68.39,68.43,68.35,68.4,826,20220518
68.33,68.34,68.315,68.34,3271,20220518
68.31,68.389,68.31,68.37,1311,20220518
68.36,68.415,68.355,68.39,917,20220518
68.35,68.42,68.32,68.34,3566,20220518
68.34,68.35,68.325,68.325,1810,20220518
68.31,68.365,68.27,68.365,2826,20220518
68.34,68.35,68.33,68.35,2875,20220518
68.345,68.4,68.34,68.4,1000,20220518
68.4,68.415,68.35,68.37,556,20220518
68.37,68.385,68.34,68.385,2705,20220518
68.39,68.39,68.38,68.38,300,20220518
68.36,68.42,68.36,68.405,949,20220518
68.35,68.43,68.35,68.43,900,20220518
68.45,68.52,68.435,68.52,1300,20220518
68.49,68.53,68.47,68.5,1258,20220518
68.46,68.46,68.455,68.455,300,20220518
68.48,68.5021,68.47,68.47,550,20220518
68.47,68.495,68.46,68.49,619,20220518
68.48,68.53,68.46,68.53,2577,20220518
68.53,68.53,68.53,68.53,200,20220518
68.5,68.5,68.46,68.46,335,20220518
68.4192,68.425,68.4,68.425,582,20220518
68.39,68.43,68.39,68.4,904,20220518
68.34,68.35,68.34,68.34,300,20220518
68.34,68.41,68.34,68.37,1000,20220518
68.36,68.36,68.33,68.33,531,20220518
68.315,68.315,68.2636,68.28,1603,20220518
68.255,68.255,68.18,68.22,1006,20220518
68.23,68.33,68.23,68.235,4239,20220518
68.25,68.25,68.21,68.21,1294,20220518
68.22,68.25,68.175,68.175,741,20220518
68.155,68.26,68.155,68.26,2315,20220518
68.233,68.26,68.225,68.24,1523,20220518
68.27,68.28,68.24,68.24,300,20220518
68.24,68.27,68.24,68.245,535,20220518
68.23,68.24,68.22,68.24,1178,20220518
68.26,68.34,68.26,68.305,1296,20220518
68.34,68.35,68.32,68.35,1000,20220518
68.35,68.35,68.35,68.35,100,20220518
68.35,68.39,68.34,68.39,514,20220518
68.41,68.42,68.38,68.42,400,20220518
68.43,68.435,68.415,68.415,500,20220518
68.4003,68.43,68.39,68.42,1931,20220518
68.39,68.39,68.38,68.38,1618,20220518
68.39,68.46,68.39,68.39,1732,20220518
68.37,68.37,68.34,68.35,526,20220518
68.36,68.39,68.34,68.34,1125,20220518
68.31,68.31,68.285,68.3,1100,20220518
68.31,68.32,68.28,68.295,1023,20220518
68.29,68.29,68.29,68.29,100,20220518
68.28,68.28,68.25,68.27,1162,20220518
68.285,68.33,68.28,68.28,1101,20220518
68.285,68.285,68.23,68.24,500,20220518
68.23,68.29,68.23,68.24,1947,20220518
68.23,68.32,68.225,68.32,1300,20220518
68.33,68.36,68.31,68.3519,500,20220518
68.37,68.38,68.37,68.37,1010,20220518
68.37,68.37,68.32,68.36,1615,20220518
68.34,68.35,68.34,68.35,325,20220518
68.37,68.4,68.37,68.375,700,20220518
68.4,68.42,68.33,68.345,1715,20220518
68.32,68.32,68.27,68.27,600,20220518
68.3,68.32,68.3,68.3,955,20220518
68.32,68.35,68.31,68.35,1200,20220518
68.36,68.365,68.32,68.32,2236,20220518
68.255,68.34,68.255,68.34,1080,20220518
68.35,68.36,68.345,68.36,500,20220518
68.375,68.39,68.37,68.38,2244,20220518
68.37,68.37,68.3,68.31,2907,20220518
68.31,68.34,68.31,68.34,800,20220518
68.3382,68.3382,68.3382,68.3382,129,20220518
68.345,68.345,68.345,68.345,381,20220518
68.359,68.36,68.359,68.36,752,20220518
68.355,68.355,68.34,68.345,1300,20220518
68.36,68.365,68.28,68.285,1444,20220518
68.27,68.27,68.27,68.27,100,20220518
68.26,68.29,68.26,68.264,500,20220518
68.29,68.37,68.27,68.34,2095,20220518
68.36,68.38,68.36,68.38,200,20220518
68.38,68.38,68.33,68.33,1574,20220518
68.3,68.3,68.26,68.265,638,20220518
68.26,68.26,68.225,68.225,500,20220518
68.225,68.23,68.225,68.225,300,20220518
68.225,68.3,68.225,68.3,1611,20220518
68.28,68.29,68.28,68.29,915,20220518
68.2848,68.2848,68.25,68.25,1211,20220518
68.234,68.275,68.234,68.275,918,20220518
68.27,68.27,68.22,68.25,1228,20220518
68.27,68.27,68.244,68.244,434,20220518
68.24,68.32,68.21,68.3,2696,20220518
68.35,68.37,68.33,68.34,1350,20220518
68.31,68.33,68.28,68.32,1506,20220518
68.34,68.37,68.34,68.37,693,20220518
68.365,68.39,68.365,68.39,300,20220518
68.385,68.39,68.385,68.39,200,20220518
68.39,68.4,68.39,68.4,1025,20220518
68.38,68.38,68.35,68.35,300,20220518
68.34,68.39,68.34,68.39,888,20220518
68.41,68.44,68.41,68.42,1345,20220518
68.43,68.46,68.39,68.46,1904,20220518
68.45,68.45,68.38,68.385,952,20220518
68.385,68.43,68.385,68.43,634,20220518
68.44,68.445,68.3709,68.3709,1597,20220518
68.37,68.38,68.365,68.38,858,20220518
68.36,68.37,68.32,68.32,1119,20220518
68.33,68.33,68.28,68.28,825,20220518
68.29,68.33,68.29,68.32,600,20220518
68.3,68.33,68.3,68.32,1225,20220518
68.34,68.34,68.32,68.32,645,20220518
68.305,68.305,68.3,68.3,200,20220518
68.3,68.31,68.24,68.24,1200,20220518
68.245,68.25,68.21,68.21,800,20220518
68.19,68.22,68.19,68.22,900,20220518
68.215,68.27,68.215,68.24,900,20220518
68.25,68.25,68.22,68.25,849,20220518
68.25,68.255,68.23,68.23,722,20220518
68.2426,68.25,68.2426,68.25,1022,20220518
68.24,68.26,68.23,68.26,1230,20220518
68.24,68.24,68.24,68.24,200,20220518
68.23,68.26,68.23,68.26,718,20220518
68.28,68.28,68.26,68.265,823,20220518
68.24,68.24,68.2,68.2,825,20220518
68.2,68.24,68.2,68.23,908,20220518
68.21,68.23,68.21,68.23,200,20220518
68.22,68.22,68.214,68.214,242,20220518
68.23,68.24,68.19,68.23,2241,20220518
68.225,68.245,68.19,68.24,3477,20220518
68.245,68.3,68.245,68.3,600,20220518
68.295,68.295,68.26,68.28,730,20220518
68.3,68.35,68.3,68.32,5203,20220518
68.32,68.36,68.31,68.36,1262,20220518
68.36,68.4,68.3587,68.39,516,20220518
68.41,68.46,68.41,68.44,1140,20220518
68.47,68.485,68.47,68.485,740,20220518
68.485,68.485,68.46,68.46,538,20220518
68.45,68.45,68.44,68.45,403,20220518
68.47,68.48,68.45,68.45,1022,20220518
68.43,68.45,68.43,68.43,808,20220518
68.44,68.46,68.44,68.46,400,20220518
68.45,68.45,68.39,68.42,2212,20220518
68.43,68.44,68.42,68.42,702,20220518
68.4,68.41,68.37,68.41,1472,20220518
68.36,68.38,68.34,68.34,1400,20220518
68.36,68.365,68.36,68.365,200,20220518
68.36,68.45,68.36,68.45,1194,20220518
68.44,68.44,68.4117,68.4117,1174,20220518
68.42,68.42,68.395,68.395,428,20220518
68.39,68.45,68.39,68.45,2353,20220518
68.43,68.43,68.43,68.43,235,20220518
68.42,68.44,68.4,68.43,1300,20220518
68.425,68.46,68.41,68.46,1001,20220518
68.47,68.47,68.46,68.47,1229,20220518
68.48,68.505,68.48,68.5,807,20220518
68.5,68.5,68.5,68.5,100,20220518
68.5,68.5,68.45,68.45,900,20220518
68.47,68.54,68.47,68.54,690,20220518
68.55,68.55,68.5,68.5,844,20220518
68.5374,68.5374,68.5374,68.5374,109,20220518
68.52,68.52,68.49,68.49,1437,20220518
68.51,68.565,68.51,68.565,1003,20220518
68.55,68.57,68.5,68.505,1453,20220518
68.52,68.54,68.51,68.54,781,20220518
68.54,68.6,68.54,68.6,300,20220518
68.62,68.62,68.57,68.59,1221,20220518
68.6,68.64,68.6,68.64,1428,20220518
68.6598,68.67,68.6598,68.67,462,20220518
68.65,68.67,68.65,68.67,930,20220518
68.67,68.69,68.67,68.69,393,20220518
68.68,68.7,68.66,68.67,800,20220518
68.67,68.71,68.67,68.71,648,20220518
68.69,68.7,68.684,68.684,1033,20220518
68.68,68.68,68.64,68.64,1054,20220518
68.66,68.66,68.62,68.62,1400,20220518
68.65,68.72,68.65,68.72,1079,20220518
68.71,68.71,68.675,68.689,1695,20220518
68.64,68.64,68.59,68.59,2054,20220518
68.6,68.6,68.5992,68.5992,600,20220518
68.58,68.58,68.55,68.55,1259,20220518
68.54,68.54,68.52,68.52,701,20220518
68.51,68.52,68.51,68.52,308,20220518
68.485,68.485,68.43,68.45,825,20220518
68.47,68.47,68.46,68.46,1009,20220518
68.44,68.44,68.41,68.44,938,20220518
68.44,68.44,68.42,68.42,223,20220518
68.425,68.425,68.39,68.4,423,20220518
68.42,68.435,68.42,68.435,1902,20220518
68.42,68.44,68.42,68.42,800,20220518
68.41,68.42,68.39,68.39,758,20220518
68.4,68.43,68.4,68.43,600,20220518
68.45,68.475,68.45,68.475,446,20220518
68.46,68.46,68.44,68.45,1131,20220518
68.46,68.46,68.424,68.424,740,20220518
68.42,68.42,68.39,68.39,920,20220518
68.385,68.43,68.385,68.41,700,20220518
68.4,68.41,68.37,68.405,2848,20220518
68.405,68.42,68.405,68.42,700,20220518
68.435,68.499,68.435,68.499,818,20220518
68.49,68.49,68.49,68.49,100,20220518
68.48,68.49,68.47,68.48,931,20220518
68.45,68.45,68.4,68.4,816,20220518
68.42,68.43,68.4,68.4,1300,20220518
68.4,68.4,68.4,68.4,2155,20220518
68.37,68.39,68.33,68.39,3797,20220518
68.405,68.43,68.405,68.43,355,20220518
68.425,68.425,68.41,68.41,326,20220518
68.375,68.41,68.375,68.41,660,20220518
68.43,68.46,68.42,68.45,400,20220518
68.47,68.47,68.44,68.44,900,20220518
68.43,68.45,68.41,68.45,1848,20220518
68.48,68.53,68.475,68.53,1142,20220518
68.54,68.57,68.53,68.53,1278,20220518
68.54,68.555,68.52,68.52,1650,20220518
68.56,68.595,68.56,68.57,882,20220518
68.56,68.57,68.54,68.57,1420,20220518
68.54,68.55,68.54,68.55,751,20220518
68.54,68.54,68.54,68.54,230,20220518
68.52,68.52,68.45,68.45,1671,20220518
68.45,68.47,68.445,68.445,706,20220518
68.43,68.44,68.42,68.42,1028,20220518
68.41,68.41,68.39,68.39,2899,20220518
68.41,68.42,68.4,68.4,1132,20220518
68.39,68.39,68.32,68.32,606,20220518
68.31,68.31,68.255,68.255,600,20220518
68.27,68.286,68.25,68.286,934,20220518
68.26,68.26,68.21,68.21,400,20220518
68.23,68.27,68.2,68.2,2337,20220518
68.21,68.24,68.2,68.2,1216,20220518
68.19,68.19,68.1582,68.1582,1042,20220518
68.15,68.16,68.15,68.15,600,20220518
68.16,68.17,68.16,68.17,1455,20220518
68.1849,68.23,68.14,68.14,9437,20220518
68.16,68.22,68.16,68.22,1136,20220518
68.24,68.25,68.22,68.25,1200,20220518
68.27,68.27,68.26,68.27,797,20220518
68.27,68.28,68.23,68.27,2509,20220518
68.265,68.37,68.265,68.37,820,20220518
68.34,68.34,68.2958,68.2958,1900,20220518
68.33,68.35,68.32,68.32,629,20220518
68.25,68.25,68.24,68.24,300,20220518
68.31,68.315,68.31,68.315,200,20220518
68.33,68.35,68.33,68.33,2004,20220518
68.33,68.38,68.32,68.33,1413,20220518
68.31,68.32,68.3,68.31,1000,20220518
68.31,68.31,68.28,68.31,600,20220518
68.34,68.37,68.34,68.37,1200,20220518
68.38,68.4,68.32,68.34,1971,20220518
68.36,68.36,68.33,68.33,1100,20220518
68.28,68.3,68.27,68.3,1839,20220518
68.31,68.35,68.31,68.35,400,20220518
68.35,68.35,68.29,68.29,1600,20220518
68.28,68.31,68.25,68.25,1139,20220518
68.24,68.33,68.23,68.3152,3654,20220518
68.33,68.33,68.3025,68.32,732,20220518
68.3342,68.375,68.3342,68.35,2112,20220518
68.35,68.4036,68.345,68.4,3742,20220518
68.39,68.41,68.38,68.392,700,20220518
68.39,68.395,68.34,68.37,1420,20220518
68.42,68.475,68.42,68.42,3291,20220518
68.42,68.4797,68.42,68.475,3577,20220518
68.46,68.46,68.41,68.41,1466,20220518
68.43,68.49,68.43,68.47,1735,20220518
68.47,68.5,68.47,68.5,378,20220518
68.53,68.56,68.51,68.56,900,20220518
68.54,68.54,68.52,68.53,1246,20220518
68.525,68.54,68.525,68.53,1102,20220518
68.53,68.53,68.455,68.4887,3255,20220518
68.44,68.44,68.37,68.37,700,20220518
68.38,68.41,68.38,68.395,2780,20220518
