open,high,low,close,volume,datetime
47.68,48.06,47.47,47.525,27586,20220518
47.48,47.48,47.32,47.385,2855,20220518
47.35,47.37,47.28,47.36,3089,20220518
47.36,47.36,47.3,47.33,1526,20220518
47.37,47.37,47.31,47.37,2781,20220518
47.45,47.62,47.4,47.62,2043,20220518
47.64,47.64,47.525,47.64,3707,20220518
47.69,47.705,47.58,47.59,1077,20220518
47.56,47.58,47.47,47.48,2004,20220518
47.48,47.54,47.355,47.355,1689,20220518
47.355,47.355,47.295,47.33,1374,20220518
47.295,47.4,47.295,47.37,2998,20220518
47.39,47.39,47.21,47.21,940,20220518
47.24,47.3,47.17,47.3,7502,20220518
47.33,47.365,47.33,47.36,2801,20220518
47.35,47.4,47.325,47.37,2704,20220518
47.39,47.505,47.34,47.475,7441,20220518
47.5,47.62,47.5,47.595,2721,20220518
47.57,47.66,47.57,47.66,1322,20220518
47.67,47.69,47.66,47.68,792,20220518
47.65,47.65,47.56,47.61,3841,20220518
47.575,47.59,47.53,47.58,4223,20220518
47.55,47.55,47.5,47.54,4077,20220518
47.565,47.62,47.56,47.56,2674,20220518
47.5614,47.58,47.49,47.58,3447,20220518
47.575,47.585,47.55,47.57,1477,20220518
47.57,47.59,47.51,47.53,3531,20220518
47.48,47.49,47.4,47.4,3324,20220518
47.4,47.5,47.36,47.5,6701,20220518
47.52,47.52,47.455,47.47,3015,20220518
47.515,47.515,47.41,47.49,2245,20220518
47.53,47.57,47.51,47.54,1155,20220518
47.53,47.56,47.505,47.56,1430,20220518
47.53,47.53,47.47,47.49,3052,20220518
47.47,47.565,47.47,47.565,2862,20220518
47.57,47.615,47.55,47.615,4632,20220518
47.64,47.64,47.52,47.53,5419,20220518
47.525,47.545,47.5,47.525,3156,20220518
47.525,47.525,47.46,47.46,1500,20220518
47.46,47.48,47.41,47.48,8696,20220518
47.44,47.48,47.43,47.45,3781,20220518
47.44,47.45,47.37,47.39,4972,20220518
47.37,47.37,47.225,47.265,3246,20220518
47.28,47.2813,47.22,47.22,2000,20220518
47.21,47.23,47.16,47.2,4708,20220518
47.2,47.29,47.19,47.285,2537,20220518
47.28,47.39,47.28,47.38,5870,20220518
47.385,47.385,47.34,47.355,1454,20220518
47.34,47.34,47.3,47.315,1762,20220518
47.32,47.32,47.26,47.2725,2928,20220518
47.26,47.325,47.22,47.32,3849,20220518
47.31,47.3468,47.3,47.33,1492,20220518
47.34,47.35,47.28,47.28,2649,20220518
47.22,47.26,47.22,47.22,1273,20220518
47.18,47.25,47.18,47.19,1401,20220518
47.18,47.23,47.17,47.23,2296,20220518
47.22,47.29,47.22,47.23,4657,20220518
47.22,47.24,47.2,47.23,4753,20220518
47.23,47.25,47.19,47.19,4067,20220518
47.17,47.17,47.02,47.05,2973,20220518
47.04,47.08,47.01,47.075,2486,20220518
47.06,47.06,46.96,46.99,3857,20220518
47.0,47.0,46.91,47.0,4730,20220518
46.98,47.0,46.94,46.97,4484,20220518
46.95,46.97,46.91,46.96,4159,20220518
46.965,47.005,46.96,46.99,4311,20220518
47.0,47.02,46.9801,47.01,2892,20220518
47.001,47.035,47.001,47.02,2000,20220518
47.01,47.04,46.985,46.985,3475,20220518
46.99,47.02,46.99,47.0,700,20220518
47.02,47.055,46.98,46.98,1800,20220518
46.98,46.99,46.94,46.99,3794,20220518
47.005,47.005,46.95,46.95,1539,20220518
46.955,46.96,46.93,46.94,5955,20220518
46.95,47.01,46.94,46.99,3266,20220518
46.96,46.96,46.9,46.92,2299,20220518
46.93,46.96,46.93,46.93,1263,20220518
46.9,46.92,46.89,46.91,2744,20220518
46.9,46.97,46.9,46.94,2517,20220518
46.93,46.93,46.89,46.89,1044,20220518
46.88,46.88,46.84,46.875,2021,20220518
46.86,46.86,46.82,46.85,2485,20220518
46.84,46.85,46.83,46.83,812,20220518
46.8599,46.8599,46.83,46.83,802,20220518
46.84,46.85,46.83,46.83,1897,20220518
46.83,46.84,46.83,46.83,1608,20220518
46.83,46.88,46.83,46.88,3702,20220518
46.9,46.906,46.895,46.905,1408,20220518
46.92,46.97,46.92,46.92,2187,20220518
46.91,46.91,46.85,46.9,1416,20220518
46.87,46.87,46.83,46.83,1562,20220518
46.835,46.86,46.8,46.8,2481,20220518
46.82,46.84,46.79,46.79,4817,20220518
46.78,46.79,46.7,46.7,2381,20220518
46.7,46.725,46.68,46.68,4397,20220518
46.68,46.68,46.585,46.585,2628,20220518
46.57,46.62,46.515,46.515,6201,20220518
46.51,46.56,46.505,46.555,8015,20220518
46.56,46.64,46.56,46.595,2377,20220518
46.58,46.58,46.54,46.5434,2333,20220518
46.54,46.57,46.524,46.57,4030,20220518
46.552,46.58,46.54,46.58,1668,20220518
46.57,46.58,46.5651,46.5651,490,20220518
46.57,46.58,46.57,46.571,921,20220518
46.57,46.58,46.57,46.5762,2844,20220518
46.57,46.58,46.56,46.58,1230,20220518
46.57,46.59,46.49,46.49,7956,20220518
46.45,46.47,46.43,46.43,5435,20220518
46.425,46.425,46.37,46.38,4367,20220518
46.4,46.435,46.4,46.41,3553,20220518
46.4,46.405,46.362,46.405,2534,20220518
46.42,46.42,46.42,46.42,200,20220518
46.41,46.45,46.41,46.44,2126,20220518
46.43,46.435,46.41,46.42,2554,20220518
46.435,46.435,46.35,46.4,3231,20220518
46.41,46.45,46.385,46.45,1912,20220518
46.445,46.47,46.445,46.466,746,20220518
46.45,46.45,46.445,46.445,694,20220518
46.435,46.44,46.34,46.355,4790,20220518
46.355,46.41,46.35,46.38,5568,20220518
46.41,46.41,46.35,46.35,2917,20220518
46.341,46.395,46.34,46.395,6250,20220518
46.39,46.4,46.31,46.37,8015,20220518
46.34,46.35,46.33,46.33,1208,20220518
46.33,46.33,46.28,46.32,3686,20220518
46.36,46.41,46.36,46.41,1122,20220518
46.42,46.48,46.391,46.48,6155,20220518
46.48,46.53,46.48,46.52,5102,20220518
46.51,46.51,46.42,46.44,1509,20220518
46.445,46.53,46.445,46.53,5003,20220518
46.55,46.57,46.52,46.56,5028,20220518
46.545,46.56,46.53,46.54,1094,20220518
46.54,46.64,46.5312,46.62,3521,20220518
46.62,46.62,46.535,46.54,5381,20220518
46.52,46.59,46.52,46.59,3017,20220518
46.59,46.62,46.56,46.56,3950,20220518
46.554,46.59,46.53,46.53,3222,20220518
46.535,46.535,46.5,46.5,2934,20220518
46.48,46.5,46.45,46.47,1746,20220518
46.46,46.47,46.43,46.43,2857,20220518
46.445,46.46,46.41,46.46,1921,20220518
46.465,46.465,46.465,46.465,200,20220518
46.45,46.45,46.41,46.41,1827,20220518
46.4,46.4,46.3,46.3,3862,20220518
46.28,46.3,46.21,46.21,1950,20220518
46.21,46.23,46.19,46.22,2417,20220518
46.24,46.32,46.24,46.26,5927,20220518
46.26,46.29,46.26,46.27,1800,20220518
46.28,46.3,46.27,46.3,1313,20220518
46.31,46.34,46.25,46.25,4039,20220518
46.27,46.32,46.27,46.31,4764,20220518
46.31,46.335,46.28,46.31,4294,20220518
46.3,46.3,46.22,46.22,2932,20220518
46.23,46.23,46.18,46.2,4835,20220518
46.2,46.25,46.2,46.25,1382,20220518
46.27,46.28,46.21,46.21,5752,20220518
46.18,46.22,46.18,46.19,1551,20220518
46.19,46.27,46.18,46.27,8388,20220518
46.24,46.255,46.23,46.23,5628,20220518
46.23,46.23,46.16,46.19,4328,20220518
46.2,46.2,46.16,46.18,926,20220518
46.17,46.295,46.17,46.28,3678,20220518
46.28,46.3,46.27,46.27,2738,20220518
46.3,46.315,46.265,46.28,3379,20220518
46.29,46.31,46.29,46.31,803,20220518
46.33,46.33,46.3,46.31,6548,20220518
46.3,46.37,46.3,46.34,2783,20220518
46.3278,46.37,46.32,46.34,2343,20220518
46.34,46.36,46.3,46.305,4156,20220518
46.25,46.26,46.24,46.25,1193,20220518
46.25,46.26,46.221,46.23,874,20220518
46.22,46.22,46.14,46.16,6650,20220518
46.165,46.17,46.11,46.111,2943,20220518
46.13,46.14,46.02,46.02,2300,20220518
46.02,46.025,45.95,45.965,3673,20220518
45.95,45.99,45.945,45.955,9189,20220518
45.955,46.0,45.955,46.0,4442,20220518
46.01,46.02,45.985,46.01,3149,20220518
