open,high,low,close,volume,datetime
39.05,39.12,39.0,39.06,34462,20220518
39.0,39.0,38.79,38.79,1467,20220518
38.78,38.8,38.67,38.71,11900,20220518
38.74,38.8,38.71,38.8,3151,20220518
38.85,38.96,38.85,38.94,15475,20220518
38.92,39.06,38.92,39.06,5994,20220518
39.06,39.06,38.96,39.05,8620,20220518
39.06,39.07,39.0,39.0,3534,20220518
39.02,39.04,39.0,39.0,3328,20220518
38.99,39.01,38.88,38.91,5191,20220518
38.9,38.9,38.82,38.83,6913,20220518
38.87,38.92,38.86,38.88,4973,20220518
38.88,38.89,38.85,38.87,5300,20220518
38.87,38.92,38.86,38.92,2884,20220518
38.94,38.99,38.94,38.97,3702,20220518
38.96,38.98,38.94,38.96,9218,20220518
38.96,38.96,38.91,38.95,3038,20220518
38.97,39.02,38.95,39.02,1907,20220518
39.02,39.04,38.93,38.93,2512,20220518
38.94,38.98,38.93,38.98,2095,20220518
38.95,38.95,38.87,38.87,6617,20220518
38.87,38.93,38.87,38.88,4442,20220518
38.87,38.87,38.83,38.84,4000,20220518
38.82,38.84,38.81,38.83,3254,20220518
38.83,38.92,38.81,38.92,5654,20220518
38.91,38.92,38.88,38.9,3500,20220518
38.91,38.91,38.87,38.87,3038,20220518
38.85,38.85,38.81,38.82,8281,20220518
38.78,38.82,38.775,38.81,3534,20220518
38.79,38.79,38.75,38.79,4367,20220518
38.79,38.84,38.76,38.84,6249,20220518
38.82,38.86,38.82,38.85,3678,20220518
38.86,38.91,38.86,38.9,3585,20220518
38.91,38.99,38.91,38.98,3400,20220518
38.98,39.03,38.97,38.97,5111,20220518
38.97,39.01,38.97,39.01,1800,20220518
39.025,39.05,39.01,39.01,2705,20220518
39.01,39.03,39.0,39.03,2614,20220518
39.02,39.05,39.01,39.05,5218,20220518
39.03,39.03,39.0,39.03,6431,20220518
39.03,39.09,39.01,39.04,3524,20220518
39.04,39.04,39.02,39.03,1100,20220518
39.04,39.05,38.96,38.97,2348,20220518
38.96,39.0,38.96,38.98,2637,20220518
38.96,39.0,38.96,39.0,4800,20220518
39.0,39.02,38.97,39.02,1302,20220518
39.04,39.04,39.0,39.02,3878,20220518
39.02,39.03,38.99,39.03,3821,20220518
39.03,39.06,39.03,39.04,2805,20220518
39.02,39.02,39.0,39.02,3430,20220518
39.01,39.095,39.0,39.095,3895,20220518
39.11,39.12,39.08,39.08,4363,20220518
39.07,39.1,39.07,39.09,1854,20220518
39.08,39.08,39.04,39.04,3003,20220518
39.03,39.06,39.03,39.04,1400,20220518
39.04,39.05,39.04,39.05,2459,20220518
39.05,39.088,39.05,39.088,5600,20220518
39.08,39.1,39.07,39.09,7796,20220518
39.08,39.08,39.03,39.03,2237,20220518
39.03,39.03,38.99,38.99,6743,20220518
38.98,39.0268,38.97,39.0268,2737,20220518
39.03,39.03,39.01,39.01,1365,20220518
39.01,39.01,38.97,38.97,6747,20220518
38.96,38.985,38.96,38.985,1500,20220518
39.0,39.01,38.98,39.01,3319,20220518
39.01,39.04,38.99,38.99,9724,20220518
38.98,39.02,38.975,39.0,3625,20220518
39.005,39.055,39.005,39.05,3059,20220518
39.04,39.065,39.03,39.04,3122,20220518
39.045,39.05,39.02,39.0443,4231,20220518
39.03,39.03,39.01,39.01,1250,20220518
39.005,39.09,39.005,39.09,2266,20220518
39.1,39.1,39.05,39.05,5016,20220518
39.0531,39.0531,39.04,39.04,2507,20220518
39.03,39.045,39.03,39.04,1300,20220518
39.04,39.04,39.01,39.04,2788,20220518
39.05,39.1,39.05,39.095,3264,20220518
39.08,39.08,39.04,39.06,2200,20220518
39.0591,39.09,39.0591,39.07,5578,20220518
39.06,39.06,39.03,39.03,2297,20220518
39.03,39.03,39.0,39.02,4730,20220518
39.015,39.04,39.015,39.03,1801,20220518
39.02,39.04,39.01,39.02,4605,20220518
39.02,39.02,38.98,38.985,8220,20220518
38.99,39.005,38.97,38.99,14129,20220518
38.98,38.99,38.97,38.99,2902,20220518
38.99,39.01,38.98,39.01,5377,20220518
39.01,39.05,39.0069,39.05,6075,20220518
39.08,39.11,39.08,39.09,2524,20220518
39.075,39.14,39.07,39.14,3500,20220518
39.14,39.14,39.09,39.1,4788,20220518
39.11,39.115,39.08,39.09,5392,20220518
39.0922,39.125,39.09,39.1,9494,20220518
39.1,39.1092,39.07,39.085,4934,20220518
39.09,39.115,39.09,39.11,3053,20220518
39.1,39.115,39.1,39.1,4888,20220518
39.11,39.11,39.06,39.065,11148,20220518
39.06,39.09,39.04,39.09,4789,20220518
39.09,39.1,39.08,39.08,3150,20220518
39.08,39.08,39.06,39.06,4110,20220518
39.065,39.065,38.95,38.95,34348,20220518
38.94,38.96,38.94,38.95,5524,20220518
38.9445,38.945,38.94,38.94,2700,20220518
38.95,38.95,38.95,38.95,1472,20220518
38.94,38.96,38.94,38.96,900,20220518
38.955,38.96,38.95,38.95,1829,20220518
38.96,38.96,38.92,38.92,7250,20220518
38.9147,38.9147,38.91,38.91,1259,20220518
38.91,38.91,38.87,38.88,4346,20220518
38.88,38.92,38.88,38.92,3278,20220518
38.91,38.91,38.86,38.88,4976,20220518
38.875,38.875,38.855,38.86,900,20220518
38.86,38.87,38.84,38.87,2370,20220518
38.86,38.87,38.83,38.85,5329,20220518
38.83,38.83,38.81,38.81,500,20220518
38.82,38.85,38.82,38.85,1558,20220518
38.85,38.85,38.77,38.79,12967,20220518
38.78,38.78,38.76,38.78,4095,20220518
38.77,38.77,38.755,38.77,3041,20220518
38.775,38.775,38.75,38.76,3500,20220518
38.77,38.77,38.73,38.73,1496,20220518
38.73,38.76,38.65,38.76,48304,20220518
38.76,38.77,38.74,38.755,4884,20220518
38.78,38.79,38.76,38.77,2776,20220518
38.76,38.79,38.755,38.79,1771,20220518
38.81,38.8354,38.81,38.83,2242,20220518
38.83,38.87,38.82,38.86,2604,20220518
38.85,38.89,38.84,38.89,3090,20220518
38.89,38.89,38.8599,38.88,4195,20220518
38.88,38.88,38.85,38.85,3275,20220518
38.845,38.85,38.83,38.845,3052,20220518
38.85,38.905,38.85,38.88,2771,20220518
38.87,38.9,38.86,38.9,2575,20220518
38.8901,38.9,38.88,38.88,1833,20220518
38.87,38.89,38.86,38.89,2343,20220518
38.885,38.89,38.85,38.85,3448,20220518
38.855,38.88,38.85,38.85,1933,20220518
38.84,38.85,38.825,38.825,7329,20220518
38.84,38.84,38.81,38.81,1431,20220518
38.805,38.835,38.805,38.83,2205,20220518
38.825,38.84,38.805,38.84,1794,20220518
38.855,38.855,38.835,38.835,1900,20220518
38.83,38.835,38.82,38.82,2025,20220518
38.81,38.815,38.77,38.77,4078,20220518
38.78,38.785,38.7296,38.73,3087,20220518
38.71,38.73,38.71,38.73,3001,20220518
38.76,38.76,38.74,38.74,1894,20220518
38.74,38.755,38.74,38.755,1250,20220518
38.765,38.765,38.73,38.73,1235,20220518
38.72,38.745,38.72,38.725,2891,20220518
38.72,38.73,38.71,38.73,2111,20220518
38.72,38.73,38.7,38.72,2829,20220518
38.72,38.72,38.695,38.7,2001,20220518
38.7,38.71,38.69,38.695,2902,20220518
38.69,38.7,38.685,38.69,4330,20220518
38.69,38.695,38.6446,38.6446,3984,20220518
38.66,38.665,38.642,38.65,3126,20220518
38.645,38.66,38.63,38.645,6507,20220518
38.645,38.65,38.6341,38.6341,2200,20220518
38.63,38.655,38.62,38.655,3527,20220518
38.64,38.645,38.605,38.63,3846,20220518
38.63,38.66,38.63,38.659,4462,20220518
38.66,38.67,38.64,38.66,3511,20220518
38.68,38.68,38.67,38.67,1400,20220518
38.67,38.715,38.67,38.71,1709,20220518
38.71,38.725,38.7047,38.71,3012,20220518
38.72,38.75,38.72,38.73,5695,20220518
38.74,38.78,38.7232,38.78,3045,20220518
38.775,38.775,38.74,38.74,3091,20220518
38.735,38.735,38.7,38.7,2918,20220518
38.7,38.72,38.7,38.7,3587,20220518
38.65,38.66,38.61,38.62,6336,20220518
38.63,38.67,38.63,38.645,1900,20220518
38.65,38.65,38.595,38.6,14952,20220518
38.63,38.63,38.6,38.605,4702,20220518
38.61,38.66,38.61,38.615,5827,20220518
38.61,38.61,38.59,38.5989,1597,20220518
38.61,38.61,38.585,38.585,1106,20220518
38.58,38.58,38.545,38.575,6767,20220518
38.58,38.58,38.555,38.5646,745,20220518
38.56,38.57,38.54,38.54,1479,20220518
38.54,38.58,38.54,38.575,1989,20220518
38.57,38.58,38.56,38.58,2992,20220518
38.57,38.57,38.55,38.55,2924,20220518
38.55,38.58,38.55,38.58,2600,20220518
38.58,38.59,38.56,38.58,4801,20220518
38.58,38.58,38.555,38.57,2514,20220518
38.57,38.57,38.56,38.56,3035,20220518
38.55,38.55,38.505,38.505,2135,20220518
38.505,38.52,38.48,38.52,7070,20220518
38.515,38.52,38.505,38.52,2528,20220518
38.5,38.51,38.5,38.51,2456,20220518
38.51,38.52,38.485,38.52,1864,20220518
38.51,38.55,38.51,38.52,10171,20220518
38.52,38.52,38.5,38.5,2160,20220518
38.5,38.525,38.5,38.525,3513,20220518
38.525,38.59,38.52,38.59,4541,20220518
38.6,38.63,38.595,38.63,2036,20220518
38.63,38.645,38.615,38.64,4957,20220518
38.63,38.66,38.625,38.65,1733,20220518
38.665,38.71,38.65,38.68,7681,20220518
38.68,38.71,38.68,38.71,1100,20220518
38.7,38.705,38.68,38.69,2700,20220518
