open,high,low,close,volume,datetime
75.48,75.71,75.41,75.55,46973,20220518
75.52,75.6,75.43,75.59,5948,20220518
75.57,75.57,75.34,75.46,3350,20220518
75.445,75.5,75.38,75.5,5684,20220518
75.45,75.585,75.38,75.55,1400,20220518
75.58,75.68,75.5268,75.53,3985,20220518
75.53,75.54,75.47,75.48,3600,20220518
75.56,75.57,75.4,75.49,4424,20220518
75.52,75.52,75.425,75.43,2905,20220518
75.41,75.48,75.38,75.4,3878,20220518
75.37,75.39,75.32,75.33,4575,20220518
75.3,75.395,75.3,75.32,2725,20220518
75.3,75.43,75.28,75.39,5921,20220518
75.38,75.48,75.375,75.403,2333,20220518
75.37,75.49,75.37,75.49,2500,20220518
75.47,75.5,75.44,75.5,2715,20220518
75.47,75.51,75.44,75.465,3906,20220518
75.45,75.57,75.44,75.5,3460,20220518
75.5,75.54,75.47,75.47,1296,20220518
75.45,75.55,75.44,75.529,3416,20220518
75.57,75.59,75.48,75.48,4212,20220518
75.45,75.465,75.4,75.4,2942,20220518
75.37,75.38,75.33,75.3382,3232,20220518
75.31,75.32,75.24,75.28,7848,20220518
75.25,75.37,75.25,75.37,3253,20220518
75.35,75.35,75.3,75.34,3514,20220518
75.34,75.43,75.33,75.39,3889,20220518
75.37,75.38,75.3,75.3,2740,20220518
75.26,75.3202,75.22,75.24,3091,20220518
75.2,75.2794,75.2,75.26,3573,20220518
75.3,75.32,75.24,75.29,13028,20220518
75.27,75.27,75.15,75.17,6887,20220518
75.16,75.2,75.13,75.18,3159,20220518
75.18,75.23,75.13,75.18,7995,20220518
75.19,75.26,75.19,75.23,2849,20220518
75.22,75.23,75.1,75.1,1600,20220518
75.12,75.14,75.085,75.1,1330,20220518
75.07,75.075,75.03,75.03,1100,20220518
75.08,75.09,75.05,75.09,900,20220518
75.14,75.19,75.11,75.1697,2559,20220518
75.15,75.2,75.14,75.165,2280,20220518
75.155,75.27,75.155,75.27,1440,20220518
75.24,75.28,75.22,75.24,2529,20220518
75.24,75.27,75.22,75.27,1083,20220518
75.26,75.295,75.26,75.295,2348,20220518
75.29,75.33,75.2249,75.27,3635,20220518
75.26,75.26,75.18,75.2,1752,20220518
75.17,75.2,75.14,75.18,2600,20220518
75.21,75.28,75.2,75.25,1880,20220518
75.25,75.34,75.25,75.34,3172,20220518
75.32,75.33,75.29,75.31,3851,20220518
75.32,75.34,75.285,75.285,1633,20220518
75.23,75.28,75.19,75.27,2412,20220518
75.25,75.28,75.24,75.28,4542,20220518
75.27,75.35,75.27,75.32,4094,20220518
75.3606,75.365,75.34,75.345,1425,20220518
75.32,75.36,75.31,75.35,1400,20220518
75.34,75.4081,75.34,75.4081,3165,20220518
75.39,75.43,75.325,75.34,3110,20220518
75.4,75.41,75.37,75.4,982,20220518
75.44,75.47,75.415,75.415,3025,20220518
75.41,75.45,75.41,75.435,1752,20220518
75.435,75.4385,75.335,75.36,2521,20220518
75.37,75.415,75.37,75.41,3448,20220518
75.43,75.49,75.43,75.47,2403,20220518
75.48,75.56,75.48,75.53,6237,20220518
75.51,75.5299,75.5,75.5,2546,20220518
75.5,75.54,75.47,75.54,3826,20220518
75.55,75.58,75.54,75.54,2900,20220518
75.54,75.54,75.48,75.48,1626,20220518
75.48,75.52,75.45,75.4615,3008,20220518
75.48,75.48,75.43,75.46,1555,20220518
75.46,75.47,75.4,75.4,1600,20220518
