open,high,low,close,volume,datetime
1.31,1.32,1.31,1.32,7417,20220518
1.32,1.32,1.31,1.31,5718,20220518
1.315,1.315,1.31,1.3125,2294,20220518
1.31,1.325,1.31,1.325,5675,20220518
1.3225,1.33,1.3225,1.33,2400,20220518
1.338,1.34,1.335,1.34,4000,20220518
1.35,1.35,1.35,1.35,318,20220518
1.348,1.3494,1.348,1.3494,2150,20220518
1.3454,1.35,1.3454,1.35,248,20220518
1.345,1.345,1.34,1.34,4869,20220518
1.33,1.335,1.33,1.335,400,20220518
1.33,1.33,1.32,1.32,1744,20220518
1.326,1.326,1.31,1.31,2093,20220518
1.31,1.315,1.31,1.315,500,20220518
1.31,1.315,1.31,1.315,6271,20220518
1.31,1.325,1.31,1.32,8494,20220518
1.325,1.325,1.325,1.325,300,20220518
1.33,1.335,1.32,1.335,2985,20220518
1.33,1.33,1.33,1.33,100,20220518
1.33,1.3389,1.33,1.3389,500,20220518
1.33,1.33,1.33,1.33,2291,20220518
1.32,1.325,1.32,1.32,800,20220518
1.32,1.34,1.32,1.34,9041,20220518
1.35,1.35,1.34,1.34,4218,20220518
1.35,1.35,1.3411,1.345,8239,20220518
1.35,1.35,1.34,1.35,300,20220518
1.345,1.345,1.33,1.33,5500,20220518
1.33,1.335,1.33,1.33,1975,20220518
1.33,1.335,1.33,1.33,1700,20220518
1.33,1.335,1.33,1.33,3500,20220518
1.335,1.35,1.33,1.35,11823,20220518
1.345,1.36,1.345,1.36,10600,20220518
1.36,1.36,1.36,1.36,1900,20220518
1.365,1.365,1.365,1.365,200,20220518
1.37,1.37,1.368,1.37,400,20220518
1.37,1.37,1.3611,1.37,4310,20220518
1.365,1.37,1.365,1.365,500,20220518
1.3699,1.3699,1.3699,1.3699,1000,20220518
1.365,1.365,1.365,1.365,800,20220518
1.365,1.365,1.36,1.365,566,20220518
1.36,1.365,1.36,1.365,300,20220518
1.365,1.365,1.36,1.365,400,20220518
1.365,1.365,1.36,1.36,700,20220518
1.365,1.365,1.36,1.36,600,20220518
1.37,1.37,1.36,1.365,1600,20220518
1.365,1.365,1.36,1.36,200,20220518
1.365,1.3699,1.365,1.365,750,20220518
1.36,1.365,1.36,1.3647,1700,20220518
1.36,1.37,1.36,1.36,500,20220518
1.365,1.365,1.36,1.36,1279,20220518
1.36,1.38,1.36,1.375,5374,20220518
1.375,1.375,1.37,1.375,4689,20220518
1.37,1.37,1.37,1.37,5000,20220518
1.375,1.375,1.375,1.375,100,20220518
1.3719,1.38,1.3719,1.375,879,20220518
1.37,1.37,1.365,1.37,8786,20220518
1.37,1.375,1.37,1.37,500,20220518
1.375,1.3788,1.365,1.37,10199,20220518
1.365,1.365,1.365,1.365,800,20220518
1.36,1.365,1.36,1.36,300,20220518
1.361,1.365,1.36,1.36,1800,20220518
1.365,1.365,1.36,1.36,300,20220518
1.36,1.365,1.36,1.36,300,20220518
1.36,1.365,1.36,1.36,600,20220518
1.365,1.365,1.36,1.36,600,20220518
1.36,1.36,1.36,1.36,800,20220518
1.36,1.36,1.35,1.355,10920,20220518
1.36,1.36,1.3525,1.36,1057,20220518
1.355,1.36,1.35,1.35,600,20220518
1.35,1.355,1.35,1.355,400,20220518
1.355,1.355,1.35,1.35,200,20220518
1.355,1.36,1.35,1.36,1010,20220518
1.35,1.36,1.35,1.355,500,20220518
1.36,1.36,1.35,1.355,1000,20220518
1.35,1.36,1.35,1.36,6739,20220518
1.35,1.36,1.35,1.36,400,20220518
1.36,1.36,1.355,1.355,300,20220518
1.355,1.36,1.355,1.36,3871,20220518
1.365,1.37,1.365,1.37,600,20220518
1.369,1.37,1.369,1.37,500,20220518
1.37,1.37,1.365,1.365,404,20220518
1.37,1.38,1.37,1.38,3417,20220518
1.371,1.375,1.371,1.375,2200,20220518
1.38,1.38,1.375,1.375,8300,20220518
1.375,1.375,1.375,1.375,216,20220518
1.375,1.38,1.375,1.375,696,20220518
1.375,1.375,1.375,1.375,100,20220518
1.375,1.38,1.375,1.375,1700,20220518
1.38,1.38,1.375,1.375,200,20220518
1.38,1.38,1.37,1.375,500,20220518
1.37,1.375,1.37,1.375,1600,20220518
1.375,1.375,1.3701,1.375,923,20220518
1.375,1.375,1.37,1.37,200,20220518
1.37,1.375,1.37,1.37,800,20220518
1.37,1.375,1.365,1.365,10633,20220518
1.365,1.37,1.36,1.365,2477,20220518
1.365,1.365,1.36,1.36,300,20220518
1.36,1.36,1.36,1.36,400,20220518
1.36,1.365,1.36,1.36,300,20220518
1.36,1.3699,1.36,1.3699,1060,20220518
1.365,1.365,1.36,1.36,1000,20220518
1.36,1.36,1.36,1.36,100,20220518
1.36,1.37,1.36,1.365,400,20220518
1.36,1.3653,1.36,1.364,5700,20220518
1.36,1.37,1.36,1.36,2803,20220518
1.36,1.36,1.36,1.36,200,20220518
1.37,1.37,1.3635,1.3649,5050,20220518
1.365,1.365,1.365,1.365,1400,20220518
1.37,1.37,1.36,1.36,3766,20220518
1.365,1.365,1.36,1.36,200,20220518
1.37,1.37,1.36,1.36,300,20220518
1.36,1.3601,1.36,1.3601,1156,20220518
1.36,1.37,1.36,1.36,400,20220518
1.36,1.36,1.355,1.36,25008,20220518
