open,high,low,close,volume,datetime
38.75,38.79,38.6,38.72,27037,20220518
38.6601,38.7494,38.66,38.66,867,20220518
38.715,38.715,38.715,38.715,100,20220518
38.6401,38.71,38.6401,38.7,1300,20220518
38.73,38.8716,38.71,38.8716,6822,20220518
38.87,38.93,38.81,38.89,2500,20220518
38.89,38.92,38.82,38.82,3700,20220518
38.9,38.9,38.86,38.9,500,20220518
38.91,38.93,38.88,38.905,1600,20220518
38.83,38.84,38.655,38.68,6000,20220518
38.68,38.68,38.61,38.61,693,20220518
38.63,38.655,38.54,38.62,1762,20220518
38.59,38.605,38.59,38.605,300,20220518
38.58,38.61,38.58,38.61,293,20220518
38.66,38.6625,38.63,38.63,1097,20220518
38.64,38.665,38.63,38.655,1265,20220518
38.65,38.685,38.62,38.68,4000,20220518
38.67,38.725,38.67,38.725,1700,20220518
38.74,38.74,38.6,38.61,4415,20220518
38.615,38.63,38.615,38.63,756,20220518
38.63,38.63,38.5,38.5,4644,20220518
38.48,38.5102,38.48,38.48,1081,20220518
38.49,38.49,38.45,38.45,3861,20220518
38.43,38.44,38.38,38.3925,1900,20220518
38.38,38.39,38.345,38.36,2875,20220518
38.35,38.37,38.32,38.32,2160,20220518
38.31,38.36,38.3,38.335,2941,20220518
38.33,38.35,38.32,38.35,2457,20220518
38.36,38.39,38.36,38.39,400,20220518
38.38,38.43,38.34,38.43,1400,20220518
38.42,38.42,38.35,38.35,1800,20220518
38.36,38.46,38.34,38.4,15145,20220518
38.42,38.46,38.41,38.4175,2404,20220518
38.41,38.41,38.38,38.4,900,20220518
38.4,38.41,38.34,38.35,4101,20220518
38.33,38.3575,38.31,38.3575,1600,20220518
38.38,38.38,38.34,38.345,1200,20220518
38.37,38.41,38.355,38.36,7028,20220518
38.35,38.36,38.32,38.35,1300,20220518
38.33,38.35,38.32,38.33,1295,20220518
38.31,38.375,38.29,38.375,1100,20220518
38.375,38.375,38.375,38.375,200,20220518
38.37,38.385,38.34,38.36,1280,20220518
38.37,38.37,38.37,38.37,100,20220518
38.39,38.41,38.39,38.4,2200,20220518
38.415,38.42,38.39,38.42,783,20220518
38.43,38.43,38.41,38.43,1468,20220518
38.44,38.44,38.4,38.4,1900,20220518
38.4,38.43,38.39,38.43,1910,20220518
38.43,38.44,38.41,38.415,700,20220518
38.43,38.44,38.4,38.43,2900,20220518
38.43,38.44,38.41,38.44,2650,20220518
38.425,38.45,38.42,38.4225,3009,20220518
38.42,38.42,38.37,38.37,1929,20220518
38.37,38.38,38.35,38.38,1628,20220518
38.38,38.4,38.38,38.3869,1888,20220518
38.37,38.38,38.36,38.38,1735,20220518
38.36,38.37,38.34,38.34,1100,20220518
38.36,38.375,38.36,38.375,810,20220518
38.37,38.4,38.37,38.39,1217,20220518
38.37,38.46,38.36,38.46,2532,20220518
38.48,38.48,38.47,38.48,1000,20220518
38.49,38.49,38.49,38.49,1204,20220518
38.49,38.51,38.49,38.51,200,20220518
38.52,38.525,38.49,38.5,3524,20220518
38.49,38.49,38.49,38.49,200,20220518
38.505,38.535,38.5,38.5,2216,20220518
38.53,38.53,38.485,38.49,1971,20220518
38.49,38.52,38.49,38.51,2491,20220518
38.5,38.5,38.48,38.5,1218,20220518
38.51,38.51,38.43,38.43,5729,20220518
38.44,38.47,38.44,38.47,1289,20220518
38.465,38.48,38.45,38.48,300,20220518
38.485,38.5,38.46,38.5,2430,20220518
38.505,38.58,38.505,38.58,1921,20220518
38.57,38.605,38.54,38.54,3600,20220518
38.545,38.545,38.52,38.53,1140,20220518
38.54,38.57,38.54,38.555,600,20220518
38.55,38.575,38.55,38.575,1390,20220518
38.58,38.58,38.55,38.565,1500,20220518
38.565,38.59,38.565,38.59,600,20220518
38.59,38.64,38.59,38.635,940,20220518
38.62,38.66,38.62,38.65,2490,20220518
38.655,38.674,38.64,38.64,2202,20220518
38.63,38.63,38.63,38.63,200,20220518
38.63,38.67,38.63,38.67,2360,20220518
38.69,38.69,38.65,38.655,3741,20220518
38.67,38.68,38.655,38.67,1100,20220518
38.66,38.66,38.65,38.65,500,20220518
38.65,38.65,38.63,38.63,2200,20220518
38.615,38.63,38.61,38.61,400,20220518
38.62,38.65,38.6,38.6,3068,20220518
38.62,38.63,38.61,38.63,1311,20220518
38.63,38.63,38.62,38.62,700,20220518
38.62,38.62,38.58,38.58,5118,20220518
38.59,38.6,38.58,38.6,2055,20220518
38.59,38.59,38.58,38.585,900,20220518
38.57,38.58,38.57,38.58,507,20220518
38.58,38.58,38.53,38.54,2549,20220518
38.559,38.56,38.559,38.56,664,20220518
38.55,38.55,38.55,38.55,798,20220518
38.56,38.56,38.56,38.56,200,20220518
38.56,38.56,38.56,38.56,100,20220518
38.57,38.57,38.54,38.54,2610,20220518
38.54,38.54,38.52,38.52,1009,20220518
38.51,38.515,38.495,38.5,1793,20220518
38.51,38.53,38.51,38.52,713,20220518
38.51,38.52,38.505,38.52,900,20220518
38.52,38.52,38.52,38.52,100,20220518
38.52,38.52,38.5,38.51,900,20220518
38.51,38.51,38.51,38.51,100,20220518
38.515,38.515,38.48,38.48,3798,20220518
38.48,38.515,38.48,38.515,2539,20220518
38.515,38.515,38.5,38.5,331,20220518
38.5,38.505,38.5,38.505,700,20220518
38.49,38.51,38.49,38.51,1900,20220518
38.52,38.52,38.45,38.45,2500,20220518
38.44,38.4596,38.43,38.4596,810,20220518
38.42,38.45,38.42,38.45,500,20220518
38.47,38.47,38.47,38.47,241,20220518
38.46,38.475,38.44,38.46,1967,20220518
38.43,38.43,38.405,38.42,3192,20220518
38.44,38.45,38.42,38.42,400,20220518
38.415,38.42,38.39,38.41,1900,20220518
38.44,38.44,38.44,38.44,200,20220518
38.45,38.45,38.42,38.42,1705,20220518
38.43,38.43,38.42,38.42,327,20220518
38.42,38.42,38.42,38.42,200,20220518
38.435,38.455,38.435,38.455,1225,20220518
38.45,38.45,38.44,38.445,1601,20220518
38.44,38.44,38.41,38.42,1300,20220518
38.43,38.46,38.43,38.46,500,20220518
38.45,38.45,38.44,38.44,830,20220518
38.44,38.45,38.42,38.42,3297,20220518
38.43,38.46,38.43,38.44,5477,20220518
38.44,38.45,38.435,38.44,1188,20220518
38.44,38.45,38.41,38.41,3000,20220518
38.425,38.425,38.41,38.42,1399,20220518
38.43,38.435,38.41,38.41,3471,20220518
38.41,38.41,38.41,38.41,273,20220518
38.4,38.4,38.38,38.39,913,20220518
38.38,38.38,38.345,38.35,800,20220518
38.36,38.36,38.35,38.35,1415,20220518
38.35,38.35,38.32,38.32,2594,20220518
38.31,38.32,38.31,38.315,700,20220518
38.33,38.33,38.31,38.33,1303,20220518
38.33,38.33,38.31,38.31,600,20220518
38.3,38.315,38.3,38.3008,1000,20220518
38.3,38.32,38.29,38.31,2056,20220518
38.32,38.32,38.31,38.31,500,20220518
38.31,38.3425,38.31,38.3425,2083,20220518
38.35,38.35,38.32,38.32,1231,20220518
38.32,38.32,38.29,38.295,2130,20220518
38.29,38.3,38.2865,38.2865,1200,20220518
