Ticker,open,high,low,close,volume
A,129.38,130.0,126.97,127.63,1310578
AA,62.59,64.25,61.195,64.02,5390902
AAL,16.53,16.57,16.02,16.3,29567847
AAP,191.71,191.875,188.79,190.74,433176
AAPL,147.03,148.5689,144.9,146.14,71598380
ABBV,147.0,147.82,145.66,146.53,3912363
ABC,147.19,147.91,146.16,146.89,796627
ABMD,266.99,267.94,258.91,260.1,132392
ABT,117.38,118.23,116.04,116.42,4205819
ACN,310.0,312.32,303.775,304.73,1401045
ADBE,437.59,440.0,427.0361,429.46,1563987
ADI,167.35,168.83,164.56,165.27,2273830
ADM,88.41,88.92,87.65,88.41,1976053
ADP,222.49,224.22,219.1,219.51,1408656
ADSK,211.27,212.29,207.4694,208.6,835464
ADT,7.55,7.68,7.47,7.61,2410076
AEE,93.63,94.03,92.88,93.15,1713859
AEP,102.35,102.79,101.525,102.06,1499033
AES,23.19,23.69,22.67,22.71,5583075
AFL,59.4,59.73,58.75,59.16,1803066
AIG,57.81,59.365,57.4,58.99,4094317
AIV,6.34,6.34,6.17,6.2,1099867
AIZ,181.46,183.39,180.43,183.18,347643
AJG,163.73,164.87,161.78,162.0,776158
AKAM,101.84,101.84,100.33,100.65,807365
ALB,254.23,259.76,253.0,257.79,1280998
ALGN,280.87,281.5,266.615,269.01,829278
ALK,49.7,49.78,48.32,48.85,1417878
ALL,133.17,133.76,131.65,132.35,1445802
ALLE,112.0,112.86,111.11,112.08,1274742
ALTR,56.24,56.5724,54.69,54.94,199976
AMAT,117.135,117.88,114.37,115.0,3824616
AMCR,13.45,13.605,13.375,13.49,5215743
AMD,108.27,109.57,104.225,105.65,96726891
AME,123.33,123.57,122.05,122.43,695909
AMG,135.35,137.88,133.38,136.21,220055
AMGN,248.33,248.83,243.61,245.44,2413787
AMP,274.01,277.3,272.18,274.28,359396
AMT,269.79,271.09,266.17,267.36,4197136
AMZN,125.245,128.99,123.81,124.79,135269020
AN,121.6,124.79,118.77,122.78,605336
ANET,105.22,106.02,102.84,103.51,1039969
ANF,20.34,20.82,19.79,20.53,2592065
ANSS,264.56,267.11,257.615,258.92,563745
AON,271.07,274.28,268.73,271.89,593417
AOS,61.58,62.14,61.04,61.87,689695
APA,48.92,49.07,47.6,48.55,5524307
APD,255.0,259.0,254.31,257.45,1149187
APH,71.6,72.44,71.07,71.25,1598365
APTV,108.52,111.03,107.44,109.89,1745436
ARE,164.66,165.12,162.13,162.57,881398
ATI,27.32,28.81,27.13,28.57,2332728
ATO,116.45,117.39,116.1,116.76,715563
