Ticker,date,root,expiration,strike,option_type,OpenPrice,HighPrice,LowPrice,ClosePrice,TotalVolume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,implied_underlying_price,active_underlying_price,implied_volatility,delta,gamma,theta,vega,rho,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
.SPX20220520C200,20220420,SPX,20220520,200.0,C,0.0,0.0,0.0,0.0,0,15,4257.7,15,4267.0,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9994,0.0,-0.1935,0.028,15.9838,15,4260.1,15,4268.1,4434.6602,4694.96,0.0,83,
.SPX20220520P200,20220420,SPX,20220520,200.0,P,0.0,0.0,0.0,0.0,0,0,0.0,2424,0.05,4467.9902,4469.3198,4465.75,4468.6401,2.9818,-0.0,0.0,-0.0063,0.0013,-0.0103,0,0.0,438,0.05,4434.6602,4694.96,0.0,127,
.SPX20220520C400,20220420,SPX,20220520,400.0,C,0.0,0.0,0.0,0.0,0,15,4057.8,15,4067.3,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9995,0.0,-0.1159,0.0234,32.3876,15,4060.4,15,4068.4,4434.6602,4694.96,0.0,3,
.SPX20220520P400,20220420,SPX,20220520,400.0,P,0.0,0.0,0.0,0.0,0,0,0.0,2568,0.05,4467.9902,4469.3198,4465.75,4468.6401,2.3042,-0.0,0.0,-0.0067,0.0017,-0.0137,0,0.0,417,0.05,4434.6602,4694.96,0.0,237,
.SPX20220520C600,20220420,SPX,20220520,600.0,C,0.0,0.0,0.0,0.0,0,15,3857.8,15,3867.5,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9988,0.0,-0.2167,0.0491,48.4115,15,3860.4,15,3868.4,4434.6602,4694.96,0.0,1,
.SPX20220520P600,20220420,SPX,20220520,600.0,P,0.0,0.0,0.0,0.0,0,0,0.0,1699,0.05,4467.9902,4469.3198,4465.75,4468.6401,1.9124,-0.0,0.0,-0.0067,0.0021,-0.0162,0,0.0,417,0.05,4434.6602,4694.96,0.0,219,
.SPX20220520C800,20220420,SPX,20220520,800.0,C,0.0,0.0,0.0,0.0,0,15,3658.1,15,3667.4,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9983,0.0,-0.2636,0.0681,64.5159,15,3658.8,15,3670.7,4434.6602,4694.96,0.0,0,
.SPX20220520P800,20220420,SPX,20220520,800.0,P,0.0,0.0,0.0,0.0,0,0,0.0,1374,0.05,4467.9902,4469.3198,4465.75,4468.6401,1.6416,-0.0,0.0,-0.0069,0.0025,-0.0193,0,0.0,417,0.05,4434.6602,4694.96,0.0,2866,
.SPX20220520C1000,20220420,SPX,20220520,1000.0,C,0.0,0.0,0.0,0.0,0,15,3458.5,15,3467.8,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9997,0.0,-0.0329,0.0121,81.4335,30,3457.1,15,3473.5,4434.6602,4694.96,0.0,1,
.SPX20220520P1000,20220420,SPX,20220520,1000.0,P,0.0,0.0,0.0,0.0,0,0,0.0,2116,0.05,4467.9902,4469.3198,4465.75,4468.6401,1.4229,-0.0001,0.0,-0.0064,0.0027,-0.0203,0,0.0,417,0.05,4434.6602,4694.96,0.0,1454,
.SPX20220520C1100,20220420,SPX,20220520,1100.0,C,0.0,0.0,0.0,0.0,0,15,3358.4,15,3367.6,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9996,0.0,-0.0424,0.0163,89.5587,15,3358.9,15,3370.7,4434.6602,4694.96,0.0,0,
.SPX20220520P1100,20220420,SPX,20220520,1100.0,P,0.0,0.0,0.0,0.0,0,0,0.0,1690,0.05,4467.9902,4469.3198,4465.75,4468.6401,1.3435,-0.0001,0.0,-0.0071,0.0031,-0.024,0,0.0,417,0.05,4434.6602,4694.96,0.0,694,
.SPX20220520C1200,20220420,SPX,20220520,1200.0,C,0.0,0.0,0.0,0.0,0,30,3258.4,15,3267.7,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9995,0.0,-0.0514,0.0207,97.6723,15,3256.4,45,3273.4,4434.6602,4694.96,0.0,0,
.SPX20220520P1200,20220420,SPX,20220520,1200.0,P,0.0,0.0,0.0,0.0,0,0,0.0,931,0.05,4467.9902,4469.3198,4465.75,4468.6401,1.251,-0.0001,0.0,-0.0063,0.003,-0.0226,0,0.0,468,0.05,4434.6602,4694.96,0.0,2608,
.SPX20220520C1300,20220420,SPX,20220520,1300.0,C,0.0,0.0,0.0,0.0,0,15,3158.7,15,3168.0,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9996,0.0,-0.0423,0.0184,105.7756,15,3161.0,15,3169.0,4434.6602,4694.96,0.0,0,
.SPX20220520P1300,20220420,SPX,20220520,1300.0,P,0.0,0.0,0.0,0.0,0,0,0.0,6,0.05,4467.9902,4469.3198,4465.75,4468.6401,1.1885,-0.0001,0.0,-0.0072,0.0036,-0.0278,0,0.0,426,0.05,4434.6602,4694.96,0.0,2781,
.SPX20220520C1400,20220420,SPX,20220520,1400.0,C,0.0,0.0,0.0,0.0,0,15,3058.8,15,3068.0,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9974,0.0,-0.2736,0.1033,113.1001,30,3056.7,15,3073.5,4434.6602,4694.96,0.0,0,
.SPX20220520P1400,20220420,SPX,20220520,1400.0,P,0.0,0.0,0.0,0.0,0,0,0.0,3222,0.1,4467.9902,4469.3198,4465.75,4468.6401,1.1648,-0.0001,0.0,-0.0125,0.0064,-0.0509,0,0.0,417,0.05,4434.6602,4694.96,0.0,2257,
.SPX20220520C1500,20220420,SPX,20220520,1500.0,C,0.0,0.0,0.0,0.0,0,30,2958.7,15,2967.9,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9999,0.0,-0.012,0.0065,122.1833,15,2959.2,15,2971.0,4434.6602,4694.96,0.0,0,
.SPX20220520P1500,20220420,SPX,20220520,1500.0,P,0.05,0.05,0.05,0.05,2,0,0.0,3228,0.1,4467.9902,4469.3198,4465.75,4468.6401,1.0948,-0.0001,0.0,-0.0121,0.0066,-0.0521,0,0.0,417,0.05,4434.6602,4694.96,0.05,4373,
.SPX20220520C1600,20220420,SPX,20220520,1600.0,C,0.0,0.0,0.0,0.0,0,15,2858.8,15,2868.0,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9996,0.0,-0.0326,0.0174,130.355,15,2856.7,15,2873.7,4434.6602,4694.96,0.0,0,
.SPX20220520P1600,20220420,SPX,20220520,1600.0,P,0.0,0.0,0.0,0.0,0,0,0.0,2300,0.1,4467.9902,4469.3198,4465.75,4468.6401,1.0322,-0.0001,0.0,-0.0121,0.007,-0.0553,0,0.0,1040,0.1,4434.6602,4694.96,0.0,1222,
.SPX20220520C1700,20220420,SPX,20220520,1700.0,C,0.0,0.0,0.0,0.0,0,15,2759.1,15,2768.3,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9963,0.0,-0.3193,0.1404,137.1514,15,2759.3,15,2771.1,4434.6602,4694.96,0.0,0,
.SPX20220520P1700,20220420,SPX,20220520,1700.0,P,0.07,0.07,0.07,0.07,11,0,0.0,1526,0.1,4467.9902,4469.3198,4465.75,4468.6401,0.9749,-0.0002,0.0,-0.0123,0.0075,-0.0598,0,0.0,1040,0.1,4434.6602,4694.96,0.07,3356,
.SPX20220520C1800,20220420,SPX,20220520,1800.0,C,0.0,0.0,0.0,0.0,0,15,2658.9,15,2668.4,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9995,0.0,-0.0415,0.0243,146.6042,15,2661.5,15,2669.5,4434.6602,4694.96,0.0,0,
.SPX20220520P1800,20220420,SPX,20220520,1800.0,P,0.0,0.0,0.0,0.0,0,0,0.0,1346,0.1,4467.9902,4469.3198,4465.75,4468.6401,0.9196,-0.0002,0.0,-0.0124,0.008,-0.0636,0,0.0,904,0.1,4434.6602,4694.96,0.0,2587,
.SPX20220520C1900,20220420,SPX,20220520,1900.0,C,0.0,0.0,0.0,0.0,0,15,2559.3,15,2568.4,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9998,0.0,-0.0119,0.0082,154.7864,15,2561.6,15,2569.6,4434.6602,4694.96,0.0,0,
.SPX20220520P1900,20220420,SPX,20220520,1900.0,P,0.0,0.0,0.0,0.0,0,0,0.0,3285,0.15,4467.9902,4469.3198,4465.75,4468.6401,0.8895,-0.0002,0.0,-0.0171,0.0114,-0.0929,0,0.0,579,0.1,4434.6602,4694.96,0.0,15832,
.SPX20220520C1950,20220420,SPX,20220520,1950.0,C,0.0,0.0,0.0,0.0,0,30,2509.1,15,2518.3,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9998,0.0,-0.0124,0.0088,158.9487,15,2509.6,15,2521.4,4434.6602,4694.96,0.0,0,
