Ticker,date,root,expiration,strike,option_type,OpenPrice,HighPrice,LowPrice,ClosePrice,TotalVolume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,implied_underlying_price,active_underlying_price,implied_volatility,delta,gamma,theta,vega,rho,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
.SPX20220520C200,20220504,SPX,20220520,200.0,C,3959.73,4089.92,3959.73,4089.92,3,15,4084.2,15,4096.9,4294.77,4296.79,4292.3,4295.8398,0.02,1.0,0.0,0.0,0.0,0.0862,15,4083.7,15,4094.7,4235.7598,6859.48,4046.5233,91,
.SPX20220520P200,20220504,SPX,20220520,200.0,P,0.0,0.0,0.0,0.0,0,0,0.0,843,0.05,4294.77,4296.79,4292.3,4295.8398,4.0593,-0.0,0.0,-0.0121,0.0009,-0.0001,0,0.0,223,0.05,4235.7598,6859.48,0.0,135,
.SPX20220520C400,20220504,SPX,20220520,400.0,C,0.0,0.0,0.0,0.0,0,15,3884.6,15,3897.3,4294.77,4296.79,4292.3,4295.8398,0.02,1.0,0.0,0.0,0.0,0.1725,15,3883.8,15,3894.7,4235.7598,6859.48,0.0,3,
.SPX20220520P400,20220504,SPX,20220520,400.0,P,0.0,0.0,0.0,0.0,0,0,0.0,840,0.05,4294.77,4296.79,4292.3,4295.8398,3.126,-0.0,0.0,-0.0128,0.0013,-0.0001,0,0.0,221,0.05,4235.7598,6859.48,0.0,237,
.SPX20220520C600,20220504,SPX,20220520,600.0,C,0.0,0.0,0.0,0.0,0,15,3684.2,15,3696.9,4294.77,4296.79,4292.3,4295.8398,0.02,1.0,0.0,0.0,0.0,0.2587,15,3683.9,15,3694.8,4235.7598,6859.48,0.0,1,
.SPX20220520P600,20220504,SPX,20220520,600.0,P,0.0,0.0,0.0,0.0,0,0,0.0,833,0.05,4294.77,4296.79,4292.3,4295.8398,2.5832,-0.0,0.0,-0.0126,0.0015,-0.0001,0,0.0,211,0.05,4235.7598,6859.48,0.0,206,
.SPX20220520C800,20220504,SPX,20220520,800.0,C,0.0,0.0,0.0,0.0,0,15,3484.5,15,3497.1,4294.77,4296.79,4292.3,4295.8398,0.02,1.0,0.0,0.0,0.0,0.345,15,3483.9,15,3494.9,4235.7598,6859.48,0.0,0,
.SPX20220520P800,20220504,SPX,20220520,800.0,P,0.0,0.0,0.0,0.0,0,0,0.0,834,0.05,4294.77,4296.79,4292.3,4295.8398,2.218,-0.0001,0.0,-0.0136,0.0019,-0.0001,0,0.0,211,0.05,4235.7598,6859.48,0.0,2866,
.SPX20220520C1000,20220504,SPX,20220520,1000.0,C,0.0,0.0,0.0,0.0,0,15,3284.6,15,3297.2,4294.77,4296.79,4292.3,4295.8398,0.02,1.0,0.0,0.0,0.0,0.4312,15,3284.0,15,3295.0,4235.7598,6859.48,0.0,151,
.SPX20220520P1000,20220504,SPX,20220520,1000.0,P,0.0,0.0,0.0,0.0,0,0,0.0,414,0.05,4294.77,4296.79,4292.3,4295.8398,1.9157,-0.0001,0.0,-0.0125,0.0021,-0.0001,0,0.0,211,0.05,4235.7598,6859.48,0.0,1585,
