Ticker,date,root,expiration,strike,option_type,OpenPrice,HighPrice,LowPrice,ClosePrice,TotalVolume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,implied_underlying_price,active_underlying_price,implied_volatility,delta,gamma,theta,vega,rho,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
.SPX20220520C200,20220418,SPX,20220520,200.0,C,0.0,0.0,0.0,0.0,0,15,4166.1,15,4175.6,4376.2002,4377.4399,4373.65,4376.9199,0.0,0.9999,0.0,-0.0385,0.0073,0.173223,30,4190.9,16,4206.7,4367.5898,4439.1099,0.0,83,
.SPX20220520P200,20220418,SPX,20220520,200.0,P,0.0,0.0,0.0,0.0,0,0,0.0,1374,0.05,4376.2002,4377.4399,4373.65,4376.9199,2.8760000000000003,-0.0,0.0,-0.0061,0.0013,-0.000114,0,0.0,354,0.05,4367.5898,4439.1099,0.0,127,
.SPX20220520C400,20220418,SPX,20220520,400.0,C,0.0,0.0,0.0,0.0,0,15,3966.2,15,3975.7,4376.2002,4377.4399,4373.65,4376.9199,0.0,0.9999,0.0,-0.0114,0.0031,0.34767400000000004,30,3991.0,30,4008.0,4367.5898,4439.1099,0.0,3,
.SPX20220520P400,20220418,SPX,20220520,400.0,P,0.0,0.0,0.0,0.0,0,0,0.0,1310,0.05,4376.2002,4377.4399,4373.65,4376.9199,2.2088,-0.0,0.0,-0.0061,0.0017,-0.000142,0,0.0,340,0.05,4367.5898,4439.1099,0.0,237,
.SPX20220520C600,20220418,SPX,20220520,600.0,C,0.0,0.0,0.0,0.0,0,15,3766.4,15,3775.9,4376.2002,4377.4399,4373.65,4376.9199,0.0,0.9996,0.0,-0.0722,0.0204,0.519892,30,3791.0,30,3807.8,4367.5898,4439.1099,0.0,1,
.SPX20220520P600,20220418,SPX,20220520,600.0,P,0.0,0.0,0.0,0.0,0,0,0.0,676,0.05,4376.2002,4377.4399,4373.65,4376.9199,1.8353,-0.0,0.0,-0.0063,0.0022,-0.00017600000000000002,0,0.0,340,0.05,4367.5898,4439.1099,0.0,219,
.SPX20220520C800,20220418,SPX,20220520,800.0,C,0.0,0.0,0.0,0.0,0,15,3566.5,15,3576.0,4376.2002,4377.4399,4373.65,4376.9199,0.0,0.9994,0.0,-0.08800000000000001,0.0285,0.692976,30,3590.0,16,3607.1,4367.5898,4439.1099,0.0,0,
.SPX20220520P800,20220418,SPX,20220520,800.0,P,0.0,0.0,0.0,0.0,0,0,0.0,676,0.05,4376.2002,4377.4399,4373.65,4376.9199,1.5662,-0.0,0.0,-0.0061,0.0025,-0.000197,0,0.0,340,0.05,4367.5898,4439.1099,0.0,2866,
.SPX20220520C1000,20220418,SPX,20220520,1000.0,C,0.0,0.0,0.0,0.0,0,15,3366.7,15,3376.1,4376.2002,4377.4399,4373.65,4376.9199,0.0,0.9948,0.0,-0.6906,0.1949,0.845649,30,3391.4,30,3408.3,4367.5898,4439.1099,0.0,1,
.SPX20220520P1000,20220418,SPX,20220520,1000.0,P,0.0,0.0,0.0,0.0,0,0,0.0,676,0.05,4376.2002,4377.4399,4373.65,4376.9199,1.3604,-0.0001,0.0,-0.006,0.0028,-0.00022000000000000003,0,0.0,340,0.05,4367.5898,4439.1099,0.0,1454,
.SPX20220520C1100,20220418,SPX,20220520,1100.0,C,0.0,0.0,0.0,0.0,0,15,3266.8,15,3276.2,4376.2002,4377.4399,4373.65,4376.9199,0.0,0.9994,0.0,-0.0646,0.0265,0.954221,30,3290.2,16,3307.3,4367.5898,4439.1099,0.0,0,
